String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI,Suffix
"<b>Bennett, R.G.; Lund, O.M.</b> (2006). Globalization, sea farming and flexibility in Norwegian coastal zone planning, <b><i>in</i></b>: Chircop, A. <i>et al.</i> (Ed.) <i>Ocean Yearbook 20. Ocean Yearbook,</i> 20: pp. 377-392","Bennett, R.G.; Lund, O.M.",2006,"Globalization, sea farming and flexibility in Norwegian coastal zone planning",Ocean Yearbook 20,Ocean Yearbook,,,,,377-392,,
"<b>Woo, P.T.K. (Ed.)</b> (2006). Fish diseases and disorders: 1. Protozoan and metazoan infections. 2nd. Edition. CAB International: Oxfordshire. ISBN 978-0-85199-015-6. x, 791 pp.","Woo, P.T.K. (Ed.)",2006,Fish diseases and disorders: 1. Protozoan and metazoan infections,,,CAB International,Oxfordshire,,,"x, 791",,
"<b>Hecht, T.</b> (2006). Regional review on aquaculture development : 4. Sub-saharan africa - 2005. FAO: Rome.  96 pp.","Hecht, T.",2006,Regional review on aquaculture development : 4. Sub-saharan africa - 2005,,,FAO,Rome,,,96,,
"<b>Boyd, S.; Bushek, D.</b> (2006). The potential impact of the Asian isopod, <i>Synidotea laevidorsalis</i> (Miers 1881),on the Delaware Bay, USA, <b><i>in</i></b>: <i>New Jersey Water Resources Research Institute Annual Technical Report, FY 2006.</i> pp. 1-4","Boyd, S.; Bushek, D.",2006,"The potential impact of the Asian isopod, <i>Synidotea laevidorsalis</i> (Miers 1881),on the Delaware Bay, USA","New Jersey Water Resources Research Institute Annual Technical Report, FY 2006",,,,,,1-4,,
"<b>Appeltans, W.; Vanhoorne, B.; Vanden Berghe, E.; Hummel, H.</b> (2006). Jobs, images, projects and publications. <i>MarBEF Newsletter 4</i>: 12-14","Appeltans, W.; Vanhoorne, B.; Vanden Berghe, E.; Hummel, H.",2006,"Jobs, images, projects and publications",,MarBEF Newsletter,,,4,,12-14,,
<b>Vlaamse Instelling voor Technologisch Onderzoek; International Marine and Dredging Consultants</b> (2006). Operational remote sensing mapping of estuarine suspended sediment concentrations (ORMES): progress report 3 covering the period from 15/01/2006 to 15/07/2006. Programmatorische Federale Overheidsdienst Wetenschapsbeleid: Brussel.  57 pp.,Vlaamse Instelling voor Technologisch Onderzoek; International Marine and Dredging Consultants,2006,Operational remote sensing mapping of estuarine suspended sediment concentrations (ORMES): progress report 3 covering the period from 15/01/2006 to 15/07/2006,,,Programmatorische Federale Overheidsdienst Wetenschapsbeleid,Brussel,,,57,,
"<b>Henriet, J.-P.; Foubert, A.; Maignien, L.; Proposals 573-Light and 673-Pre2 Teams and Expedition 307 Shipboard Party</b> (2006). Atlantic carbonate mounds: challenges for ocean drilling, from Porcupine to the Morocco Margin, <b><i>in</i></b>: Akhmanov, G. <i>et al.</i> (Ed.) (2001). <i>Geological processes on deep-water European margins, International Conference and Ninth Post-Cruise Meeting of the Training-Through-Research Programme, Devoted to the TTR 10th Anniversary, Moscow-Mozhenka, Russia 28 January-2 February 2001. IOC Workshop Report,</i> 175: pp. 24-25","Henriet, J.-P.; Foubert, A.; Maignien, L.; Proposals 573-Light and 673-Pre2 Teams and Expedition 307 Shipboard Party",2006,"Atlantic carbonate mounds: challenges for ocean drilling, from Porcupine to the Morocco Margin","Geological processes on deep-water European margins, International Conference and Ninth Post-Cruise Meeting of the Training-Through-Research Programme, Devoted to the TTR 10th Anniversary, Moscow-Mozhenka, Russia 28 January-2 February 2001",IOC Workshop Report,,,,,24-25,,
"<b>De Vos, L.; De Rouck, J.; Troch, P.</b> (2006). Damage development in scour protections around offshore monopiles, <b><i>in</i></b>: Coastal Engineering Foundation <i>30th International Conference on Coastal Engineering, 2-8 September 2006, San Diego, California, USA: book of abstracts.</i> pp. 456","De Vos, L.; De Rouck, J.; Troch, P.",2006,Damage development in scour protections around offshore monopiles,"30th International Conference on Coastal Engineering, 2-8 September 2006, San Diego, California, USA: book of abstracts",,,,,,456,,
"<b>Donnay, E.</b> (2006). Current developments in the risk policy of the North Sea: from a Tripartite to a Quadripartite Bonn Agreement responsibility zone, <b><i>in</i></b>: Volckaert, A.M. <i>et al.</i> (Ed.) <i>Marine Incidents Management Cluster (MIMAC): Research in the framework of the BELSPO Supporting Actions - SPSDII. MIMAC 2006: International Conference on Marine Incidents Management, Brugge, Belgium, 19-20 October 2006. VLIZ Special Publication,</i> 34: pp. 29-35","Donnay, E.",2006,Current developments in the risk policy of the North Sea: from a Tripartite to a Quadripartite Bonn Agreement responsibility zone,"Marine Incidents Management Cluster (MIMAC): Research in the framework of the BELSPO Supporting Actions - SPSDII. MIMAC 2006: International Conference on Marine Incidents Management, Brugge, Belgium, 19-20 October 2006",VLIZ Special Publication,,,,,29-35,,
(2006). Bestrijdingsplan dijkbewaking. Stormseizoen 2006-2007. RWS Waterdistrict Westerschelde: [s.l.].  24 pp.,,2006,Bestrijdingsplan dijkbewaking. Stormseizoen 2006-2007,,,RWS Waterdistrict Westerschelde,,,,24,,
"<b>von Rothenburg, D.</b> (2006). Aquatic and oceanic science information in the life sciences databases - an integrated solution from Ovid to find ALL relevant information you search!, <b><i>in</i></b>: Konjevic, S. <i>et al.</i> <i>Open Waters - Open Sources: 11th Biennial Conference of the European Association of Aquatic Sciences Libraries and Information Centres (EURASLIC), 4-6th May 2005, Split, Croatia.</i> pp. 211-215","von Rothenburg, D.",2006,Aquatic and oceanic science information in the life sciences databases - an integrated solution from Ovid to find ALL relevant information you search!,"Open Waters - Open Sources: 11th Biennial Conference of the European Association of Aquatic Sciences Libraries and Information Centres (EURASLIC), 4-6th May 2005, Split, Croatia",,,,,,211-215,,
"<b>Holsteijn, H.</b> (2006). Nieuw in Nederland: <i>Haliclystus auricula</i> (Rathke, 1806). <i>Het Zeepaard 66(4)</i>: 124-128","Holsteijn, H.",2006,"Nieuw in Nederland: <i>Haliclystus auricula</i> (Rathke, 1806)",,Het Zeepaard,,,66,4,124-128,,
"<b>CSA</b> (2006). ASFA, Without Indexes [CD-ROM]. <i>ASFA, Aquatic Sciences and Fisheries Abstracts [CD-ROM]</i>. CSA: Cambridge.  cd-rom pp.",CSA,2006,"ASFA, Without Indexes [CD-ROM]",,"ASFA, Aquatic Sciences and Fisheries Abstracts [CD-ROM]",CSA,Cambridge,,,cd-rom,,
"<b>Comyns, B.H.; Bond, P.J.</b> (2006). Phycidae: phycid hakes, <b><i>in</i></b>: Richards, W.J. (Ed.) <i>Early stages of Atlantic fishes: an identification guide for the western central North Atlantic, volume I. CRC Marine Biology Series,</i> : pp. 639-656","Comyns, B.H.; Bond, P.J.",2006,Phycidae: phycid hakes,"Early stages of Atlantic fishes: an identification guide for the western central North Atlantic, volume I",CRC Marine Biology Series,,,,,639-656,,
"<b>Hylland, K.; Becker, G.; Lang, T.; McIntosh, A.D.; Thain, J.E.; Thomas, K.V.; Utvik, T.I.R.; Vethaak, A.D.; Wosniok, W.</b> (2006). Biological effects of contaminants in pelagic ecosystems: the BECPELAG workshop, <b><i>in</i></b>: Hylland, K. <i>et al.</i> (Ed.) <i>Biological effects of contaminants in marine pelagic ecosystems.</i> pp. 3-8","Hylland, K.; Becker, G.; Lang, T.; McIntosh, A.D.; Thain, J.E.; Thomas, K.V.; Utvik, T.I.R.; Vethaak, A.D.; Wosniok, W.",2006,Biological effects of contaminants in pelagic ecosystems: the BECPELAG workshop,Biological effects of contaminants in marine pelagic ecosystems,,,,,,3-8,,
"<b>Stevens, M.; Cuveliers, E.L.; Maes, J.; Ollevier, F.P.</b> (2006). Direct and indirect effects of predation on an intertidal benthic community, <b><i>in</i></b>: Stevens, M. <i>Intertidal and basin-wide habitat use of fishes in the Scheldt estuary = Getij- en bekkengebonden habitatgebruik door vissen in het Schelde-estuarium.</i> pp. 61-80","Stevens, M.; Cuveliers, E.L.; Maes, J.; Ollevier, F.P.",2006,Direct and indirect effects of predation on an intertidal benthic community,Intertidal and basin-wide habitat use of fishes in the Scheldt estuary = Getij- en bekkengebonden habitatgebruik door vissen in het Schelde-estuarium,,,,,,61-80,,
<b>EJF</b> (2006). Mangroves: Nature's defence against tsunamis - A report on the impact of mangrove loss and shrimp farm development on coastal defences. Environmental Justice Foundation: London. ISBN 1-904523-05-7. 29 pp.,EJF,2006,Mangroves: Nature's defence against tsunamis - A report on the impact of mangrove loss and shrimp farm development on coastal defences,,,Environmental Justice Foundation,London,,,29,,
"<b>King, T.L.; Verspoor, E.; Spidle, A.P.; Gross, R.; Phillips, R.B.; Koljonen, M.-L.; Sanchez, J.A.; Morrison, C.L.</b> (2007). Biodiversity and population structure, <b><i>in</i></b>: Verspoor, E. <i>et al.</i> (Ed.) <i>The Atlantic salmon: genetics, conservation and management.</i> pp. 117-166","King, T.L.; Verspoor, E.; Spidle, A.P.; Gross, R.; Phillips, R.B.; Koljonen, M.-L.; Sanchez, J.A.; Morrison, C.L.",2007,Biodiversity and population structure,"The Atlantic salmon: genetics, conservation and management",,,,,,117-166,,
"<b>Vandepitte, L.; Versluys, W.; Lenaerts, T.</b> (2007). <i>Belgica</i> 1884-heden: over de eerste expedities naar de Polen tot de wedergeboorte van het schip. Belgica Genootschap: Oostende.  1 poster pp.","Vandepitte, L.; Versluys, W.; Lenaerts, T.",2007,<i>Belgica</i> 1884-heden: over de eerste expedities naar de Polen tot de wedergeboorte van het schip,,,Belgica Genootschap,Oostende,,,1 poster,,
"<b>Vanagt, T.; Vincx, M.; Degraer, S.</b> (2007). Can sandy beach molluscs show an endogenously controlled circatidal migrating behaviour? Hints from a swash rig experiment, <b><i>in</i></b>: Vanagt, T. <i>De rol van swash in de ecologie van macrofauna op Ecuadoriaanse zandstranden, met speciale aandacht voor de surfende gastropode <i>Olivella semistriata</i> = The role of swash in the ecology of Ecuadorian sandy beach macrofauna, with special reference to the surfing gastropod <i>Olivella semistriata</i>.</i> pp. 135-149","Vanagt, T.; Vincx, M.; Degraer, S.",2007,Can sandy beach molluscs show an endogenously controlled circatidal migrating behaviour? Hints from a swash rig experiment,"De rol van swash in de ecologie van macrofauna op Ecuadoriaanse zandstranden, met speciale aandacht voor de surfende gastropode <i>Olivella semistriata</i> = The role of swash in the ecology of Ecuadorian sandy beach macrofauna, with special reference to the surfing gastropod <i>Olivella semistriata</i>",,,,,,135-149,,
"<b>Bianchi, C.N.</b> (2007). Biodiversity issues for the forthcoming tropical Mediterranean Sea, <b><i>in</i></b>: Relini, G. <i>et al.</i> <i>Biodiversity in Enclosed Seas and Artificial Marine Habitats: Proceedings of the 39th European Marine Biology Symposium, held in Genoa, Italy, 21-24 July 2004. Developments in Hydrobiology,</i> 193: pp. 7-21. <a href=""https://hdl.handle.net/10.1007/978-1-4020-6156-1_1"" target=""_blank"">https://hdl.handle.net/10.1007/978-1-4020-6156-1_1</a>","Bianchi, C.N.",2007,Biodiversity issues for the forthcoming tropical Mediterranean Sea,"Biodiversity in enclosed seas and artificial marine habitats: Proceedings of the 39th European Marine Biology Symposium, held in Genoa, Italy, 21-24 July 2004",Developments in Hydrobiology,,,,,7-21,,
(2007). Dossier grondwater: goud in Vlaamse bodem. <i>Verrekijker (Erembodegem) juni</i>: 15-26,,2007,Dossier grondwater: goud in Vlaamse bodem,,Verrekijker,,,juni,,15-26,,
"<b>Maes, F.; Cliquet, A.</b> (2007). Ruimtelijke ordening op zee. Symposium presentation. Maritiem Instituut: Oostende.  42 pp.","Maes, F.; Cliquet, A.",2007,Ruimtelijke ordening op zee,,,Maritiem Instituut,Oostende,,,42,,
"<b>Brorsen, M.</b> (2007). Non-linear waves. <i>DCE Lecture Notes</i>, 9. Aalborg University. Department of Civil Engineering: Aalborg.  i, 32 pp.","Brorsen, M.",2007,Non-linear waves,,DCE Lecture Notes,Aalborg University. Department of Civil Engineering,Aalborg,9,,"i, 32",,
"<b>Karnovsky, N.; Ainley, D.G.; Lee, P.</b> (2007). The impact and importance of production in polynyas to top-trophic predators: three case histories, <b><i>in</i></b>: Smith Jr., W.O. <i>et al.</i> (Ed.) <i>Polynyas: windows to the world. Elsevier Oceanography Series,</i> 74: pp. 391-410","Karnovsky, N.; Ainley, D.G.; Lee, P.",2007,The impact and importance of production in polynyas to top-trophic predators: three case histories,Polynyas: Windows to the world,Elsevier Oceanography Series,,,,,391-410,,
"<b>Sterner, D.; Orloff, S.; Spiegel, L.</b> (2007). Wind turbine collision research in the United States, <b><i>in</i></b>: de Lucas, M. <i>et al.</i> (Ed.) <i>Birds and wind farms: risk assessment and mitigation.</i> pp. 81-100","Sterner, D.; Orloff, S.; Spiegel, L.",2007,Wind turbine collision research in the United States,Birds and wind farms: risk assessment and mitigation,,,,,,81-100,,
"<b>Baeyens, A.</b> (2007). An implementation strategy of scientific instrumentation on a ROV for cold water coral reef research. MSc Thesis. RCMG: Gent.  21 pp.","Baeyens, A.",2007,An implementation strategy of scientific instrumentation on a ROV for cold water coral reef research,,,RCMG,Gent,,,21,,
"<b>Borgman, C.L.</b> (2007). Scholarship in the digital age: information, infrastructure, and the internet. MIT Press: Cambridge. ISBN 978-0-262-02619-2. 336 pp.","Borgman, C.L.",2007,"Scholarship in the digital age: information, infrastructure, and the internet",,,MIT Press,Cambridge,,,336,,
"(2007). C't Magazine 8 (2007). <i>C't Magazine voor Computertechniek</i>, 8. [S.n.]: [s.l.].",,2007,C't Magazine 8 (2007),,C't Magazine voor Computertechniek,,,8,,,,
"<b>Nesshoever, C.</b> (2007). What are the main issues for the NBPs? : some inputs with a little bit of German perspective, <b><i>in</i></b>: Tack, J. (2008). <i>Zendingsverslag Jurgen Tack : Biostrat meeting. Zendingsverslagen van het instituut voor natuur- en bosonderzoek,</i> 2008(16)","Nesshoever, C.",2007,What are the main issues for the NBPs? : some inputs with a little bit of German perspective,,,,,,,,,
"<b>Schwach, V.</b> (2007). Faded glory: The Norwegian voringen-expedition, 1876-1878, <b><i>in</i></b>: Benson, K.R. <i>et al.</i> (Ed.) <i>Extremes: oceanography's adventures at the Poles.</i> pp. 31-70","Schwach, V.",2007,"Faded glory: The Norwegian voringen-expedition, 1876-1878",Extremes: oceanography's adventures at the Poles,,,,,,31-70,,
(2007). Inland Navigation Europe. Annual report 2006. Inland Navigation Europe: Brussel.  18 pp.,,2007,Inland Navigation Europe. Annual report 2006,,,Inland Navigation Europe,Brussel,,,18,,
"(2007). Jagen 2(12). <i>Jagen : onafhankelijk magazine voor jagers en buitenlui</i>, 2(12). [S.n.]: [s.l.].",,2007,Jagen 2(12),,Jagen : onafhankelijk magazine voor jagers en buitenlui,,,2,12,,,
"<b>Burns, L.G.</b> (2007). Tracking trash: flotsam, jetsam and the science of ocean motion. <i>Scientists in the Field</i>. Houghton Mifflin: New York. ISBN 978-0-618-58131-3. 58 pp.","Burns, L.G.",2007,"Tracking trash: flotsam, jetsam and the science of ocean motion",,Scientists in the Field,Houghton Mifflin,New York,,,58,,
"<b>Mathisen, L.R.</b> (2007). Modelling the long-term effects of reducing nutrient inputs to the North Sea. Universitas Bergensis: Bergen.  71 pp.","Mathisen, L.R.",2007,Modelling the long-term effects of reducing nutrient inputs to the North Sea,,,Universitas Bergensis,Bergen,,,71,,
"<b>Bouillon, S.; Middelburg, J.J.; Dehairs, F.A.; Borges, A.V.; Abril, G.; Flindt, M.R.; Ulomi, S.; Kristensen, E.</b> (2007). Importance of intertidal sediment processes and porewater exchange on the water column biogeochemistry in a pristine mangrove creek (Ras Dege, Tanzania). <i>Biogeosciences 4(3)</i>: 311-322","Bouillon, S.; Middelburg, J.J.; Dehairs, F.A.; Borges, A.V.; Abril, G.; Flindt, M.R.; Ulomi, S.; Kristensen, E.",2007,"Importance of intertidal sediment processes and porewater exchange on the water column biogeochemistry in a pristine mangrove creek (Ras Dege, Tanzania)",,Biogeosciences,,,4,3,311-322,,
"<b>Kavanagh, F.A.; Wilson, G.D.F.</b> (2007). Revision of the genus <i>Haplomesus</i> (Isopoda : Asellota : Ischnomesidae) with erection of four new genera. <i>Invertebrate Systematics 21(5)</i>: 487-535","Kavanagh, F.A.; Wilson, G.D.F.",2007,Revision of the genus <i>Haplomesus</i> (Isopoda : Asellota : Ischnomesidae) with erection of four new genera,,Invertebrate Systematics,,,21,5,487-535,,
"<b>Vanaverbeke, J.; Courtens, W.; Deneudt, K.; Franco, M.A.; Gysels, E.S.; Hellemans, B.; Huyse, T.; Larmuseau, M.; Mees, J.; Moodley, L.; Pampoulie, C.; Provoost, P.; Remerie, T.; Soetaert, K.; Stienen, E.W.M.; Vanden Berghe, E.; Van de walle, M.; van Oevelen, D.; Volckaert, F.A.M.; Vincx, M.</b> (2007). TROPHOS: Fundamental research for policy and sustainable management, <b><i>in</i></b>: Calewaert, J.-B. <i>et al.</i> (Ed.) <i>Science and sustainable management of the North Sea: Belgian case studies.</i> pp. 21-81","Vanaverbeke, J.; Courtens, W.; Deneudt, K.; Franco, M.A.; Gysels, E.S.; Hellemans, B.; Huyse, T.; Larmuseau, M.; Mees, J.; Moodley, L.; Pampoulie, C.; Provoost, P.; Remerie, T.; Soetaert, K.; Stienen, E.W.M.; Vanden Berghe, E.; Van de walle, M.; van Oevelen, D.; Volckaert, F.A.M.; Vincx, M.",2007,TROPHOS: Fundamental research for policy and sustainable management,Science and sustainable management of the North Sea: Belgian case studies,,,,,,21-81,,
"<b>Woodroffe, C.D.</b> (2007). The natural resilience of coastal systems: primary concepts, <b><i>in</i></b>: McFadden, L. <i>et al.</i> (Ed.) <i>Managing coastal vulnerability.</i> pp. 45-60","Woodroffe, C.D.",2007,The natural resilience of coastal systems: primary concepts,Managing coastal vulnerability,,,,,,45-60,,
"<b>Vlaamse Milieumaatschappij</b> (2007). Voorstelling overstromingsvoorstellers voor Vlaanderen, donderdag 21 juni 2007. Vlaamse Milieumaatschappij (VMM): [s.l.].  1 file pp.",Vlaamse Milieumaatschappij,2007,"Voorstelling overstromingsvoorstellers voor Vlaanderen, donderdag 21 juni 2007",,,Vlaamse Milieumaatschappij (VMM),,,,1 file,,
"<b>Manning, A.J.; Melotte, J.</b> (2007). Langdurige monitoring van zout/zoet-verdeling in de haven van Zeebrugge en monitoring van zoutconcentratie, slibconcentratie en hooggeconcentreerde slibsuspensies in de Belgische kustzone: deelrapport 4: valsnelheid slib - INSSEV - herfst 2006. Versie 2.0. Waterbouwkundig Laboratorium: Borgerhout.  VIII, 105 + appendices pp.","Manning, A.J.; Melotte, J.",2007,"Langdurige monitoring van zout/zoet-verdeling in de haven van Zeebrugge en monitoring van zoutconcentratie, slibconcentratie en hooggeconcentreerde slibsuspensies in de Belgische kustzone: deelrapport 4: valsnelheid slib - INSSEV - herfst 2006",,,Waterbouwkundig Laboratorium,Borgerhout,,,"VIII, 105 + appendices",,
"<b>Best, B.D.; Halpin, P.N.; Fujioka, E.; Read, A.J.; Qian, S.S.; Hazen, L.J.; Schick, R.S.</b> (2007). Geospatial web services within a scientific workflow: predicting marine mammal habitats in a dynamic environment. <i>Ecological Informatics 2(3)</i>: 210-223. <a href=""http://dx.doi.org/10.1016/j.ecoinf.2007.07.007"" target=""_blank"">dx.doi.org/10.1016/j.ecoinf.2007.07.007</a>","Best, B.D.; Halpin, P.N.; Fujioka, E.; Read, A.J.; Qian, S.S.; Hazen, L.J.; Schick, R.S.",2007,Geospatial web services within a scientific workflow: predicting marine mammal habitats in a dynamic environment,,Ecological Informatics,,,2,3,210-223,,
"<b>Sheavly, S.B.; Register, K.M.</b> (2007). Marine debris & plastics: Environmental concerns, sources, impacts and solutions. <i>Journal of Polymers and the Environment 15(4)</i>: 301-305","Sheavly, S.B.; Register, K.M.",2007,"Marine debris & plastics: Environmental concerns, sources, impacts and solutions",,Journal of Polymers and the Environment,,,15,4,301-305,,
"<b>Cadée, G.C.</b> (2007). Boekbespreking: Kees Camphuysen & Gerand Peet, tekeningen Frits Jan Maas, 2006. Walvissen en dolfijnen in de Noordzee. Fontaine Uitgevers, 's Gravenland en Stichting Noordzee, Utrecht, 160pp., ISBN 90-5956-1570. <i>Het Zeepaard 67(2)</i>: 61-64","Cadée, G.C.",2007,"Boekbespreking: Kees Camphuysen & Gerand Peet, tekeningen Frits Jan Maas, 2006. Walvissen en dolfijnen in de Noordzee. Fontaine Uitgevers, 's Gravenland en Stichting Noordzee, Utrecht, 160pp., ISBN 90-5956-1570",,Het Zeepaard,,,67,2,61-64,,
"<b>Zintzen, V.; Kerckhof, F.</b> (2007). The sponge inhabiting barnacle <i>Acasta spongites</i> (Poli, 1795) (Crustacea, Cirripedia), a new record for the southern North Sea: how artificial habitats may increase the range of a species, <b><i>in</i></b>: Zintzen, V. <i>Biodiversity of shipwrecks from the Southern Bight of the North Sea.</i> pp. 283-291","Zintzen, V.; Kerckhof, F.",2007,"The sponge inhabiting barnacle <i>Acasta spongites</i> (Poli, 1795) (Crustacea, Cirripedia), a new record for the southern North Sea: how artificial habitats may increase the range of a species",Biodiversity of shipwrecks from the Southern Bight of the North Sea,,,,,,283-291,,
"<b>Vandendriessche, S.</b> (2008). Leven op een vlot van drijvend zeewier, <b><i>in</i></b>: <i>De Grote Rede 21. De Grote Rede: Nieuws over onze Kust en Zee,</i> 21: pp. 7-9","Vandendriessche, S.",2008,Leven op een vlot van drijvend zeewier,De Grote Rede 21,De Grote Rede: Nieuws over onze Kust en Zee,,,21,,7-9,,
"<b>Goffin, A.; Seys, J.; Mees, J.; Vincx, M. (Ed.)</b> (2008). UGent aan Zee. Vlaams Instituut voor de Zee (VLIZ): Oostende. ISBN 978-90-812900-1-2. 96 pp.","Goffin, A.; Seys, J.; Mees, J.; Vincx, M. (Ed.)",2008,UGent aan Zee,,,Vlaams Instituut voor de Zee (VLIZ),Oostende,,,96,,
"<b>International Marine and Dredging Consultants</b> (2008). Langdurige monitoring van zout/zoet-verdeling in de haven van Zeebrugge en monitoring van zoutconcentratie, slibconcentratie en hooggeconcentreerde slibsuspensies in de Belgische kustzone: deelrapport 2.3. Analyse omgevingscondities juli 2006 - augustus 2007. Versie 2.0. Waterbouwkundig Laboratorium: Antwerpen. IV, 123 pp.",International Marine and Dredging Consultants,2008,"Langdurige monitoring van zout/zoet-verdeling in de haven van Zeebrugge en monitoring van zoutconcentratie, slibconcentratie en hooggeconcentreerde slibsuspensies in de Belgische kustzone: deelrapport 2.3. Analyse omgevingscondities juli 2006 - augustus 2007",,,Waterbouwkundig Laboratorium,Antwerpen,,,"IV, 123",,
"<b>Gabrielsen, K.J.; Johansen, R.A.</b> (2008). Exploring the unknown: collecting Arctic marine organisms in a search for unique, novel compounds. <i>MarBEF Newsletter 8</i>: 24-25","Gabrielsen, K.J.; Johansen, R.A.",2008,"Exploring the unknown: collecting Arctic marine organisms in a search for unique, novel compounds",,MarBEF Newsletter,,,8,,24-25,,
"<b>Hasan, H.</b> (2008). First record of <i>Thalamita indistincta</i> Apel & Spiridonov, 1998 (Decapoda, Brachyura, Portunidae) in the Mediterranean. <i>Crustaceana 81(2)</i>: 247-252","Hasan, H.",2008,"First record of <i>Thalamita indistincta</i> Apel & Spiridonov, 1998 (Decapoda, Brachyura, Portunidae) in the Mediterranean",,Crustaceana,,,81,2,247-252,,
"<b>Parenti, L.R.</b> (2008). Ichthyology at the Smithsonian, <b><i>in</i></b>: Comer, S. <i>et al.</i> (Ed.) <i>Ichthyo, the architecture of fish: X-rays from the Smithsonian Institution.</i> pp. 161-169","Parenti, L.R.",2008,Ichthyology at the Smithsonian,"Ichthyo, the architecture of fish: X-rays from the Smithsonian Institution",,,,,,161-169,,
"<b>Adhikari, B.; Verhoeven, R.; Troch, P.</b> (2008). Fair and sustainable irrigation water management in the Babai river basin (Nepal), <b><i>in</i></b>: <i>IWA 11th international specialized conference on watershed and river basin management, 4-5 September 2008, Budapest, Hungary.</i> pp. 2 pp.","Adhikari, B.; Verhoeven, R.; Troch, P.",2008,Fair and sustainable irrigation water management in the Babai river basin (Nepal),"IWA 11th international specialized conference on watershed and river basin management, 4-5 September 2008, Budapest, Hungary",,,,,,2 pp.,,
"<b>Busuttil, S.; Busuttil, D.</b> (2008). Transformation of a sea: the next phase in Mediterranean cooperation, <b><i>in</i></b>: Chircop, A. <i>et al.</i> (Ed.) <i>Ocean Yearbook 22. Ocean Yearbook,</i> 22: pp. 61-73","Busuttil, S.; Busuttil, D.",2008,Transformation of a sea: the next phase in Mediterranean cooperation,Ocean Yearbook 22,Ocean Yearbook,,,,,61-73,,
"<b>van der Wal, D.; Ysebaert, T.; Forster, R.M.; Rossi, F.; Bouma, T.J.; Herman, P.M.J.; Plancke, Y.M.G.</b> (2008). Synoptic techniques for monitoring the response of intertidal benthic biota to an alternative dredging strategy, <b><i>in</i></b>: Dohmen-Janssen, C.M. <i>et al.</i> <i>River, coastal and estuarine morphodynamics: RCEM 2007. Proceedings of the 5th IAHR symposium on river, coastal and estuarine morphodynamics, Enschede, The Netherlands, 17-21 september 2007.</i> pp. 307-311","van der Wal, D.; Ysebaert, T.; Forster, R.M.; Rossi, F.; Bouma, T.J.; Herman, P.M.J.; Plancke, Y.M.G.",2008,Synoptic techniques for monitoring the response of intertidal benthic biota to an alternative dredging strategy,"River, coastal and estuarine morphodynamics: RCEM 2007. Proceedings of the 5th IAHR symposium on river, coastal and estuarine morphodynamics, Enschede, The Netherlands, 17-21 september 2007",,,,,,307-311,,
(2008). Flanders Hydraulics Research - Laboratoire De Recherches Hydrauliques vous souhaite la bienvenue [PRESENTATION]. Flanders Hydraulics Research: Antwerp.  19 slides pp.,,2008,Flanders Hydraulics Research - Laboratoire De Recherches Hydrauliques vous souhaite la bienvenue [PRESENTATION],,,Flanders Hydraulics Research,Antwerp,,,19 slides,,
"<b>van Os, A.G.; Erdbrink, C.D. (Ed.)</b> (2008). NCR-days 2008: 10 years NCR: November 20-21. <i>NCR-publication</i>, 33-2008. Netherlands Centre for River Studies (NCR): Delft.  91 pp.","van Os, A.G.; Erdbrink, C.D. (Ed.)",2008,NCR-days 2008: 10 years NCR: November 20-21,,NCR-publication,Netherlands Centre for River Studies (NCR),Delft,33-2008,,91,,
<b>Werkgroep waterkwaliteit</b> (2008). Achtergrondrapport bij de rBo-nota 2007: Probleemstoffen en bronnen in het Scheldestroomgebied (definitief). Projectbureau KaderRichtlijn Water Schelde: [s.l.].  100 pp.,Werkgroep waterkwaliteit,2008,Achtergrondrapport bij de rBo-nota 2007: Probleemstoffen en bronnen in het Scheldestroomgebied (definitief),,,Projectbureau KaderRichtlijn Water Schelde,,,,100,,
"<b>Spanoghe, G.; Gyselings, R.; Van den Bergh, E.</b> (2008). Monitoring van het Linkerscheldeoevergebied in uitvoering van de resolutie van het Vlaams Parlement van 20 februari 2002: resultaten van het vijfde jaar. Bijlage 9.10 bij het vijfde jaarverslag van de Beheerscommissie van het Linkerscheldeoevergebied. <i>Rapport van het Instituut voor Natuur- en Bosonderzoek</i>, R.2008.14. Instituut voor Natuur- en Bosonderzoek: Brussel.  98 pp.","Spanoghe, G.; Gyselings, R.; Van den Bergh, E.",2008,Monitoring van het Linkerscheldeoevergebied in uitvoering van de resolutie van het Vlaams Parlement van 20 februari 2002: resultaten van het vijfde jaar. Bijlage 9.10 bij het vijfde jaarverslag van de Beheerscommissie van het Linkerscheldeoevergebied,,Rapport van het Instituut voor Natuur- en Bosonderzoek,Instituut voor Natuur- en Bosonderzoek,Brussel,R.2008.14,,98,,
