String,Authors,Year,Title,Series,Suffix,DOI
"(2011). Indicatoren voor het Schelde-estuarium. <em>VLIZ Special Publication, 50. Vlaams Instituut voor de Zee (VLIZ): Oostende. ISBN 978-90-817451-0-9.</em> 165 pp.",,2011,Indicatoren voor het Schelde-estuarium,"VLIZ Special Publication, 50. Vlaams Instituut voor de Zee (VLIZ): Oostende. ISBN 978-90-817451-0-9",165 pp,
"Stock, J.H. (1981). Pycnogonides: I. Pycnosomia asterophila, a sea spider associated with the starfish Calliaster from the Philippines. <em>in: Forest, J. (Ed.) Résultats des campagnes MUSORSTOM: 1. Philippines (18-28 Mars 1976). Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 91: 309-313.","Stock, J.H.",1981,"Pycnogonides: I. Pycnosomia asterophila, a sea spider associated with the starfish Calliaster from the Philippines","in: Forest, J. (Ed.) Résultats des campagnes MUSORSTOM: 1. Philippines (18-28 Mars 1976). Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",91: 309-313,
"Vogt, C. (1845). Beiträge zur Naturgeschichte der Schweizerischen Crustaceen. Neue Denkschriften der Allg. schweizerischen Gesellschaft fur die Gesammten Naturwissenschaften, Nouveaux Memoires de la Societe Helvetique des Sciences Naturelles 7(1):1-19, pls. 1-2.","Vogt, C.",1845,Beiträge zur Naturgeschichte der Schweizerischen Crustaceen.,"Neue Denkschriften der Allg. schweizerischen Gesellschaft fur die Gesammten Naturwissenschaften, Nouveaux Memoires de la Societe Helvetique des Sciences Naturelles","7(1):1-19, pls. 1-2.",
"Sars, G.O. (1902). Copepoda Calanoida, Parts III & IV, Aetideidae (concluded), Euchaetidae, Phaennidae. <em>An Account of the Crustacea of Norway, with short descriptions and figures of all the species. Bergen Museum.</em> 4:27-48, pls. 17-96.","Sars, G.O.",1902,"Copepoda Calanoida, Parts III & IV, Aetideidae (concluded), Euchaetidae, Phaennidae.","An Account of the Crustacea of Norway, with short descriptions and figures of all the species. Bergen Museum","4:27-48, pls. 17-96.",
"Pérès, J.-M.; Picard, J. (1949). Notes sommaires sur le peuplement des grottes sous-marines de la région de Marseille. <em>C. R. Som. Séances Soc. Biogéog.</em> 26(227): 42-45.","Pérès, J.-M.; Picard, J.",1949,Notes sommaires sur le peuplement des grottes sous-marines de la région de Marseille,C. R. Som. Séances Soc. Biogéog.,26(227): 42-45,
"Uysal, Z., A.E. Kideys, A.A. Shmeleva, J.A. Zagorodnyaya & A.D. Gubanova. (2002). Checklist of copepods (Calanoida and Podoplea) from the northern Levantine basin shelf waters. <em>Hydrobiologia.</em> 482(1):15-21.","Uysal, Z., A.E. Kideys, A.A. Shmeleva, J.A. Zagorodnyaya & A.D. Gubanova",2002,Checklist of copepods (Calanoida and Podoplea) from the northern Levantine basin shelf waters.,Hydrobiologia,482(1):15-21.,10.1023/a:1021253721682
"Desbruyères, D. (1978). <i>Melythasides laubieri</i> gen. sp. nov. Ampharetidae (Annélides Polychètes sédentaires) abyssal de la mer de Norvège [<i>Melythasides laubieri</i> gen. sp. nov. Ampharetidae (Annélides Polychètes sédentaires) abyssal species from the Norwegian Sea]. <em>Bull. Mus. Natn. Hist. Nat., Paris (3ième sér.).</em> 514(Zoologie 353): 231-238.","Desbruyères, D.",1978,<i>Melythasides laubieri</i> gen. sp. nov. Ampharetidae (Annélides Polychètes sédentaires) abyssal de la mer de Norvège [<i>Melythasides laubieri</i> gen. sp. nov. Ampharetidae (Annélides Polychètes sédentaires) abyssal species from the Norwegian Sea],"Bull. Mus. Natn. Hist. Nat., Paris (3ième sér.)",514(Zoologie 353): 231-238,
"Bon, M. (1980). Agaricales rares ou nouvelles de la Zone Maritime Picarde. <em>Bulletin de la Société Mycologique de France.</em> 96: 155-174.","Bon, M.",1980,Agaricales rares ou nouvelles de la Zone Maritime Picarde.,Bulletin de la Société Mycologique de France,96: 155-174,
"Gourbault, N.; Vincx, M. (1992). Neotonchinae de la Baie de Morlaix (Nematoda, Chromadorida). <em>Bull. Mus. natl. Hist. nat., Paris.</em> A-2 ( ):449-455.","Gourbault, N.; Vincx, M.",1992,"Neotonchinae de la Baie de Morlaix (Nematoda, Chromadorida)","Bull. Mus. natl. Hist. nat., Paris",A-2 ( ):449-455,
"Huys, R. (1988). Gelyelloida, a new order of stygobiont copepods from European karstic systems. <em>In: Boxshall, G.A. & H.K. Schminke (eds.). Biology of Copepods. Proceedings of the Third International Conference on Copepoda. Developments in Hydrobiolology 47, Kluwer Academic Publishers, Dordrecht, Hydrobiologia.</em> 47(167/168):485-495.","Huys, R.",1988,"Gelyelloida, a new order of stygobiont copepods from European karstic systems","In: Boxshall, G.A. & H.K. Schminke (eds.). Biology of Copepods. Proceedings of the Third International Conference on Copepoda. Developments in Hydrobiolology 47, Kluwer Academic Publishers, Dordrecht, Hydrobiologia",47(167/168):485-495,10.1007/978-94-009-3103-9_55
"Gerlach, S. A. (1957). Die Nematodenfauna des Sandstrandes an der Küste von Mittelbrasilien (Brasilianische Meerse-Nematoden IV). <em>Mitt. zool. Mus. Berl.</em> 33 (2): 411-459.","Gerlach, S. A.",1957,Die Nematodenfauna des Sandstrandes an der Küste von Mittelbrasilien (Brasilianische Meerse-Nematoden IV),Mitt. zool. Mus. Berl.,33 (2): 411-459,
"Nutting, C.C. (1910). The Gorgonacea of the Siboga expedition. IV. The Plexauridae. <em>Siboga-Expeditie.</em> 13b(1): 1-20, plates 1-4.","Nutting, C.C.",1910,The Gorgonacea of the Siboga expedition. IV. The Plexauridae.,Siboga-Expeditie,"13b(1): 1-20, plates 1-4",
"Polk, P. (1962). Contribution to the knowledge on the marine fauna of the Belgian coast: 4. Control of the oyster pest Crepidula fornicata L. in the Sluice Dock at Ostend [Bijdrage tot de kennis der mariene fauna van de Belgische kust: 4. De bestrijding van de oesterplaag Crepidula fornicata L. in de Spuikom te Oostende]. <em>Biol. Jb. Dodonaea.</em> 30: 37-46.","Polk, P.",1962,Contribution to the knowledge on the marine fauna of the Belgian coast: 4. Control of the oyster pest Crepidula fornicata L. in the Sluice Dock at Ostend [Bijdrage tot de kennis der mariene fauna van de Belgische kust: 4. De bestrijding van de oesterplaag Crepidula fornicata L. in de Spuikom te Oostende],Biol. Jb. Dodonaea,30: 37-46,
"Casey, T. L. (1890). II.-Coleopterological Notices. I. Annals of the New York Academy of Sciences. 5(1): 39-198.","Casey, T. L.",1890,II.-Coleopterological Notices. I,Annals of the New York Academy of Sciences,5(1): 39-198,10.1111/j.1749-6632.1890.tb57003.x
"Guinot, D.; Richer de Forges, B. (1985). Crustacés Décapodes: Majidae (genres Platymaia, Cyrtomaia, Pleistacantha, Sphenocarcinus et Naxioides). <em>in: Forest, J. (Ed.) Résultats des Campagnes MUSORSTOM I et II Philippines (1976, 1980). Tome 2. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 133: 83-178.","Guinot, D.; Richer de Forges, B.",1985,"Crustacés Décapodes: Majidae (genres Platymaia, Cyrtomaia, Pleistacantha, Sphenocarcinus et Naxioides)","in: Forest, J. (Ed.) Résultats des Campagnes MUSORSTOM I et II Philippines (1976, 1980). Tome 2. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",133: 83-178,
"Paulin, C.D.; Roberts, C.D. (1997). Review of the morid cods (Teleostei, Paracanthopterygii, Moridae) of New Caledonia, southwest Pacific Ocean, with description of a new species of Gadella. <em>in: Séret, B. (Ed.) Résultats des Campagnes MUSORSTOM 17. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 174: 17-41.","Paulin, C.D.; Roberts, C.D.",1997,"Review of the morid cods (Teleostei, Paracanthopterygii, Moridae) of New Caledonia, southwest Pacific Ocean, with description of a new species of Gadella","in: Séret, B. (Ed.) Résultats des Campagnes MUSORSTOM 17. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",174: 17-41.,
"Wieser, W. (1954). Free-living marine nematodes II. Chromadoroidea. <em>Acta Univ. lund (N.F.2).</em> 50 (16): 1-148.","Wieser, W.",1954,Free-living marine nematodes II. Chromadoroidea.,Acta Univ. lund (N.F.2),50 (16): 1-148,
"Clark, A. H. (1909). Descriptions of seventeen new species of crinoids. <em>Proceedings of the United States National Museum.</em> 36: 633– 651.","Clark, A. H.",1909,Descriptions of seventeen new species of crinoids.,Proceedings of the United States National Museum,36: 633– 651,
"Huber, M. (2010). Compendium of bivalves. A full-color guide to 3,300 of the world's marine bivalves. A status on Bivalvia after 250 years of research. Hackenheim: ConchBooks. 901 pp., 1 CD-ROM.","Huber, M.",2010,"Compendium of bivalves. A full-color guide to 3,300 of the world's marine bivalves. A status on Bivalvia after 250 years of research",Hackenheim: ConchBooks,"901 pp., 1 CD-ROM",
"Ostmann, A.; Nordhaus, I.; Sørensen, M. V. (2012). First recording of kinorhynchs from Java, with the description of a new brackish water species from a mangrove-fringed lagoon. <em>Marine Biodiversity.</em> 42(2): 79-91.","Ostmann, A.; Nordhaus, I.; Sørensen, M. V.",2012,"First recording of kinorhynchs from Java, with the description of a new brackish water species from a mangrove-fringed lagoon",Marine Biodiversity,42(2): 79-91,10.1007/s12526-011-0094-z
"Jensen, P. (1976). Free-living marine nematodes from a sublittoral station in the North Sea off the Belgian Coast. <em>Biol. Jaarb. Dodonaea.</em> 44: 231-255.","Jensen, P",1976,Free-living marine nematodes from a sublittoral station in the North Sea off the Belgian Coast,Biol. Jaarb. Dodonaea,44: 231-255,
"Moreno, J.A.; Hoyos, A. (1983). <i>Carcharhinus acarenatus</i> nov. sp., nouveau requin Carcharhinidae de l'Atlantique Nord-Oriental et de la Méditerranée Occidentale. <em>Cybium.</em> 7(1): 57-64.","Moreno, J.A.; Hoyos, A.",1983,"<i>Carcharhinus acarenatus</i> nov. sp., nouveau requin Carcharhinidae de l'Atlantique Nord-Oriental et de la Méditerranée Occidentale.",Cybium,7(1): 57-64,
"Velikova, V.; Moncheva, S.; Petrova, D. (1999). Phytoplankton dynamics and red tides (1987–1997) in the bulgarian black sea. <em>Water Science and Technology.</em> 39(8): 27-36.","Velikova, V.; Moncheva, S.; Petrova, D.",1999,Phytoplankton dynamics and red tides (1987–1997) in the bulgarian black sea,Water Science and Technology,39(8): 27-36,10.1016/s0273-1223(99)00184-5
"Koeman R.P.T. ; van den Hoek, C. (1982). The taxonomy of Enteromorpha Link, 1820, (Chlorophyceae) in the Netherlands. I. The section Enteromorpha. <em>Arch. Hydrobiol. Suppl.</em> 63(32): 279-330.","Koeman R.P.T. ; van den Hoek, C.",1982,"The taxonomy of Enteromorpha Link, 1820, (Chlorophyceae) in the Netherlands. I. The section Enteromorpha",Arch. Hydrobiol. Suppl.,63(32): 279-330.,
"Kützing, F. T. (1843). Phycologia generalis : oder Anatomie. <em>Physiologie und Systemkunde der tange.</em> [part 1]: [i]-xxxii, [1]-142, [part 2:] 143-458, 1, err.], pls 1-80.","Kützing, F. T.",1843,Phycologia generalis : oder Anatomie,Physiologie und Systemkunde der tange,"[part 1]: [i]-xxxii, [1]-142, [part 2:] 143-458, 1, err.], pls 1-80",10.5962/bhl.title.4746
"Vanaverbeke, J.; Braeckman, U.; Claus, S.; Courtens, W.; De Hauwere, N.; Degraer, S.; Deneudt, K.; Goffin, A.; Mees, J.; Merckx, B.; Provoost, P.; Rabaut, M.; Soetaert, K.; Stienen, E.; Vincx, M. (2009). Long-term data from the Belgian Continental Shelf in the framework of science-based management of the coastal North Sea: Report of the WestBanks integrative workshop, October 2008. <em>Belgian Science Policy: Brussel.</em> 23 pp.","Vanaverbeke, J.; Braeckman, U.; Claus, S.; Courtens, W.; De Hauwere, N.; Degraer, S.; Deneudt, K.; Goffin, A.; Mees, J.; Merckx, B.; Provoost, P.; Rabaut, M.; Soetaert, K.; Stienen, E.; Vincx, M.",2009,"Long-term data from the Belgian Continental Shelf in the framework of science-based management of the coastal North Sea: Report of the WestBanks integrative workshop, October 2008",Belgian Science Policy: Brussel,23 pp.,
"Chan, T.-Y. (1997). Crustacea Decapoda: Palinuridae, Scyllaridae and Nephropidae collected in Indonesia by the KARUBAR Cruise, with an identification key for the species of Metanephrops. <em>in: Crosnier, A. et al. (Ed.) Résultats des Campagnes MUSORSTOM 16. Campagne Franco-Indonésienne KARUBAR. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 172: 409-432.","Chan, T.-Y.",1997,"Crustacea Decapoda: Palinuridae, Scyllaridae and Nephropidae collected in Indonesia by the KARUBAR Cruise, with an identification key for the species of Metanephrops","in: Crosnier, A. et al. (Ed.) Résultats des Campagnes MUSORSTOM 16. Campagne Franco-Indonésienne KARUBAR. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",172: 409-432,
"Markham, J. C. (1994). Crustacea Isopoda: Bopiridae in the MUSORSTOM collections from the tropical Indo-Pacific. I. Subfamilies Pseudioninae (in part), Argeiinae, Orbioninae, Athelginae and Entophilinae. <em>in: Crosnier, A. Résultats des Campagnes MUSORSTOM 12. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 161: 225-253.","Markham, J. C.",1994,"Crustacea Isopoda: Bopiridae in the MUSORSTOM collections from the tropical Indo-Pacific. I. Subfamilies Pseudioninae (in part), Argeiinae, Orbioninae, Athelginae and Entophilinae","in: Crosnier, A. Résultats des Campagnes MUSORSTOM 12. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",161: 225-253,
"Lemaitre, R. (2004). A worldwide review of hermit crab species of the genus Sympagurus Smith, 1883 (Crustacea: Decapoda: Parapaguridae). <em>in: Marshall, B.A. et al. (Ed.) Tropical Deep-Sea Benthos 23. Mémoires du Muséum national d'Histoire naturelle (1993).</em> 191: 85-149.","Lemaitre, R.",2004,"A worldwide review of hermit crab species of the genus Sympagurus Smith, 1883 (Crustacea: Decapoda: Parapaguridae)","in: Marshall, B.A. et al. (Ed.) Tropical Deep-Sea Benthos 23. Mémoires du Muséum national d'Histoire naturelle (1993)",191: 85-149,
"Sars, G. O. (1895). Crustacea Caspia. Account of the Mysidae in the collection of Dr. O. Grimm. <em>Bull. Acad. Imp. Sci. St. Petersbourg.</em> ser. 5 (3): 433-458.","Sars, G. O.",1895,Crustacea Caspia. Account of the Mysidae in the collection of Dr. O. Grimm,Bull. Acad. Imp. Sci. St. Petersbourg,ser. 5 (3): 433-458,
"Jensen, P. (1981). Description of the freeliving marine nematode Dracognomus tinae n. sp. (Draconematoidea: Prochaetosomatidae). <em>Cah. Biol. mar.</em> XXII: 285-289.","Jensen, P",1981,Description of the freeliving marine nematode Dracognomus tinae n. sp. (Draconematoidea: Prochaetosomatidae).,Cah. Biol. mar.,XXII: 285-289,
"d'Udekem d'Acoz, C. (2010). Contribution to the knowledge of European Liljeborgiidae (Crustacea, Amphipoda), with considerations on the family and its affinities. <em>Bull. Inst. r. sci. nat. Belg., Entomol. Biol.</em> 80: 127-259.","d'Udekem d'Acoz, C.",2010,"Contribution to the knowledge of European Liljeborgiidae (Crustacea, Amphipoda), with considerations on the family and its affinities.","Bull. Inst. r. sci. nat. Belg., Entomol. Biol.",80: 127-259,
"Neira, C.; Decraemer, W.; Backeljau, T. (2005). A new species of Glochinema (Epsilonematidae: Nematoda) from the oxygen minimum zone of Baja California, NE pacific and phylogenetic relationships at species level within the family. <em>Cah. Biol. Mar.</em> 46: 105-126.","Neira, C.; Decraemer, W.; Backeljau, T.",2005,"A new species of Glochinema (Epsilonematidae: Nematoda) from the oxygen minimum zone of Baja California, NE pacific and phylogenetic relationships at species level within the family",Cah. Biol. Mar.,46: 105-126,
"Huys, R., R. Herman & C. Heip. (1986). Seasonal fluctuations in vertical distribution and breeding activity of a subtidal harpacticoid community in the southern bight, North sea. <em>Netherlands Journal of Sea Research.</em> 20(4): 375-383.","Huys, R., R. Herman & C. Heip",1986,"Seasonal fluctuations in vertical distribution and breeding activity of a subtidal harpacticoid community in the southern bight, North sea.",Netherlands Journal of Sea Research,20(4): 375-383,10.1016/0077-7579(86)90004-9
"Naruse, T. (2013). Species of Corycodus A. Milne-Edwards, 1880 (Crustacea, Brachyura, Cyclodorippidae) collected from the Mozambique MAINBAZA and Madagascar MIRIKY expeditions, with description of a new species. In: Ahyong ST, Chan T-Y, Corbari L & Ng PKL (eds.) Tropical Deep-Sea Benthos. Volume 27. <em>Mémoires du Muséum national d'Histoire naturelle, Paris.</em> 204: 485-494.","Naruse, T.",2013,"Species of Corycodus A. Milne-Edwards, 1880 (Crustacea, Brachyura, Cyclodorippidae) collected from the Mozambique MAINBAZA and Madagascar MIRIKY expeditions, with description of a new species. In: Ahyong ST, Chan T-Y, Corbari L & Ng PKL (eds.) Tropical Deep-Sea Benthos. Volume 27","Mémoires du Muséum national d’Histoire naturelle, Paris",204: 485-494,
"Dahdouh-Guebas, F.; De Bondt, R.; Abeysinghe, P.D.; Kairo, J.G.; Cannicci, S.; Triest, L.; Koedam, N. (2004). Comparative study of the disjunct zonation pattern of the grey mangrove Avicennia marina (Forsk.) Vierh. In Gazi Bay (Kenya. <em>Bulletin of Marine Science.</em> 74(2): 237-252.","Dahdouh-Guebas, F.; De Bondt, R.; Abeysinghe, P.D.; Kairo, J.G.; Cannicci, S.; Triest, L.; Koedam, N.",2004,Comparative study of the disjunct zonation pattern of the grey mangrove Avicennia marina (Forsk.) Vierh. In Gazi Bay (Kenya,Bulletin of Marine Science,74(2): 237-252,
"Rappé, G. (1989). Preliminary report on the jellyfish season 1988 [Voorlopig verslag van het kwallenseizoen 1988]. <em>De Strandvlo.</em> 9(1): 5-12.","Rappé, G.",1989,Preliminary report on the jellyfish season 1988 [Voorlopig verslag van het kwallenseizoen 1988],De Strandvlo,9(1): 5-12,
"Laurin, B. (1997). Brachiopodes récoltés dans les eaux de la Nouvelle-Calédonie et des îles Loyauté, Matthew et Chesterfield. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 18. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 176, 411-471.","Laurin, B.",1997,"Brachiopodes récoltés dans les eaux de la Nouvelle-Calédonie et des îles Loyauté, Matthew et Chesterfield","in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 18. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie","176, 411-471",
"Sterrer, W. (1991). <i>Triplignathia adriatica</i>, new genus and species, and a typology of mouth parts in Austrognathiidae (Ganthostomulida). <em>Proc. Biol. Soc. Wash.</em> 104(3): 640-646.","Sterrer, W.",1991,"<i>Triplignathia adriatica</i>, new genus and species, and a typology of mouth parts in Austrognathiidae (Ganthostomulida)",Proc. Biol. Soc. Wash.,104(3): 640-646,
"Kensley, B. (1980). Decapod and isopod crustaceans from the west coast of southern Africa, including seamounts Vema and Trip. <em>Annals of the South African Museum.</em> 83(2): 13-32.","Kensley, B.",1980,"Decapod and isopod crustaceans from the west coast of southern Africa, including seamounts Vema and Trip",Annals of the South African Museum,83(2): 13-32,
"de Buen, F. (1923). Gobius de la Península Ibérica y Baleares. Grupos lesueurii, colonianus, affinis y Minutus. <em>Memorias del Instituto Español de Oceanografia, Madrid.</em> 3: 123-266. Mem. 3a.","de Buen, F.",1923,"Gobius de la Península Ibérica y Baleares. Grupos lesueurii, colonianus, affinis y Minutus","Memorias del Instituto Español de Oceanografia, Madrid",3: 123-266. Mem. 3a,
"Ben-Eliahu, M.N. (1976). Errant polychaete cryptofauna (excluding Syllidae and Nereidae) from rims of similar intertidal vermetid reefs on the Mediterranean coast of Israel and in the Gulf of Elat. <em>Israel Journal of Zoology.</em> 25: 156-177.","Ben-Eliahu, M.N.",1976,Errant polychaete cryptofauna (excluding Syllidae and Nereidae) from rims of similar intertidal vermetid reefs on the Mediterranean coast of Israel and in the Gulf of Elat,Israel Journal of Zoology,25: 156-177,10.1080/00212210.1976.10688435
"Torigoe K. & Inaba A. (2011). Revision on the classification of Recent Naticidae. <em>Bulletin of the Nishinomiya Shell Museum.</em> 7: 133 + 15 pp., 4 pls.",Torigoe K. & Inaba A.,2011,Revision on the classification of Recent Naticidae,Bulletin of the Nishinomiya Shell Museum,"7: 133 + 15 pp., 4 pls",
"Huys, R. (1995). A new genus of Canuellidae (Copepoda, Harpacticoida) associated with Atlantic bathyal sea-urchins. <em>Zoologica Scripta.</em> 24(3): 225-243.","Huys, R.",1995,"A new genus of Canuellidae (Copepoda, Harpacticoida) associated with Atlantic bathyal sea-urchins",Zoologica Scripta,24(3): 225-243,10.1111/j.1463-6409.1995.tb00401.x
"Lee, W. & R. Huys. (2001). Erratum New Aegisthidae (Copepoda: Harpacticoida) from western Pacific cold seeps and hydrothermal vents. Zoological Journal of the Linnean Society, London 131:249.","Lee, W. & R. Huys",2001,Erratum New Aegisthidae (Copepoda: Harpacticoida) from western Pacific cold seeps and hydrothermal vents.,"Zoological Journal of the Linnean Society, London",131:249.,
"Fockedey, N.; Ghekiere, A.; Bruwiere, S.; Janssen, C. R.; Vincx, M. (2005). Effect of salinity and temperature on the intra-marsupial development of the brackish water mysid Neomysis integer (Crustacea: Mysidacea). <em>Marine Biology.</em> 148(6): 1339-1356.","Fockedey, N.; Ghekiere, A.; Bruwiere, S.; Janssen, C. R.; Vincx, M.",2005,Effect of salinity and temperature on the intra-marsupial development of the brackish water mysid Neomysis integer (Crustacea: Mysidacea),Marine Biology,148(6): 1339-1356,10.1007/s00227-005-0160-9
"Murina, G. V. V.; Zavodnik, D. (1986). Sipuncula of the Adriatic Sea. <em>Thalassia Jugoslavica.</em> 21-22: 23-73.","Murina, G. V. V.; Zavodnik, D.",1986,Sipuncula of the Adriatic Sea,Thalassia Jugoslavica,21-22: 23-73,
"Hamerlynck, O.; Hostens, K.; Arellano, R.V.; Mees, J.; Vandamme, P.A. (1993). The mobile epibenthic fauna of soft bottoms in the Dutch Delta (south-west Netherlands): spatial structure. Pp 343-358 in: Meire, P.; Vincx, M. (Ed.): Marine and estuarine gradients: ECSA 21: Proceedings of the 21th Symposium of the Estuarine and Coastal Sciences Association held in Gent, 9-14 september 1991. <em>Neth. J. Aquat. Ecol.</em> 27(2-4). Netherlands Society of Aquatic Ecology: Bilthoven, The Netherlands.","Hamerlynck, O.; Hostens, K.; Arellano, R.V.; Mees, J.; Vandamme, P.A.",1993,"The mobile epibenthic fauna of soft bottoms in the Dutch Delta (south-west Netherlands): spatial structure. Pp 343-358 in: Meire, P.; Vincx, M. (Ed.): Marine and estuarine gradients: ECSA 21: Proceedings of the 21th Symposium of the Estuarine and Coastal Sciences Association held in Gent, 9-14 september 1991",Neth. J. Aquat. Ecol.,"27(2-4). Netherlands Society of Aquatic Ecology: Bilthoven, The Netherlands",
"Vanaverbeke, J.; Deprez, T.; Vincx, M. (2007). Changes in nematode communities at the long-term sand extraction site of the Kwintebank (Southern Bight of the North Sea). <em>Marine Pollution Bulletin.</em> 54(9): 1351-1360.","Vanaverbeke, J.; Deprez, T.; Vincx, M.",2007,Changes in nematode communities at the long-term sand extraction site of the Kwintebank (Southern Bight of the North Sea),Marine Pollution Bulletin,54(9): 1351-1360,10.1016/j.marpolbul.2007.05.019
"Mienis, H. K. (1980). <i>Planaxis lineolatus</i> Gould. Another Indo-Pacific species from mediterranean coast of Israel. <em>Levantina.</em> 28: 324.","Mienis, H. K.",1980,<i>Planaxis lineolatus</i> Gould. Another Indo-Pacific species from mediterranean coast of Israel,Levantina,33:24:00,
"Terenko, L. M.; Terenko, G. V. (2000). Species diversity of the plankton phytocenosis in the Odessa Bay of the Black Sea. <em>Ekologia Morya.</em> 52: 56-59. (in Russian).","Terenko, L. M.; Terenko, G. V.",2000,Species diversity of the plankton phytocenosis in the Odessa Bay of the Black Sea.,Ekologia Morya,52: 56-59. (in Russian),
"Zdzitowiecki, K. (1998). Diversity of Digenea, parasites of fishes in various areas of the Antarctic. <em>In: di Prisco, G. et al. Fishes of Antarctica: a biological overview.</em> pp. 87-94.","Zdzitowiecki, K.",1998,"Diversity of Digenea, parasites of fishes in various areas of the Antarctic","In: di Prisco, G. et al. Fishes of Antarctica: a biological overview",pp. 87-94,
"Barash, A., 1974. Polyplacophora (Mollusca) in the Eastern Mediterranean. Israel Journal of Zoology, 22: 203-204.","Barash, A.",1974,Polyplacophora (Mollusca) in the Eastern Mediterranean,Israel Journal of Zoology,22: 203-204,
"Cevik, C.; Yokes, M.B.; Cavas, L.; Erkol, L.I.; Derici, O.B.; Verlaque, M. (2007). First report of <i>Caulerpa taxifolia</i> (Bryopsidales, Chlorophyta) on the Levantine coast (Turkey, Eastern Mediterranean). <em>Estuarine, Coastal and Shelf Science.</em> 74(3): 549-556.","Cevik, C.; Yokes, M.B.; Cavas, L.; Erkol, L.I.; Derici, O.B.; Verlaque, M.",2007,"First report of <i>Caulerpa taxifolia</i> (Bryopsidales, Chlorophyta) on the Levantine coast (Turkey, Eastern Mediterranean)","Estuarine, Coastal and Shelf Science",74(3): 549-556,10.1016/j.ecss.2007.05.031
"Bezerra, T. N.; Smol, N.; Vincx, M. (2014). Two new species of Rhynchonema Cobb, 1920 from a Brazilian sandy beach. <em>Marine Biodiversity.</em> 44(3): 343-365.","Bezerra, T. N.; Smol, N.; Vincx, M.",2014,"Two new species of Rhynchonema Cobb, 1920 from a Brazilian sandy beach",Marine Biodiversity,44(3): 343-365,10.1007/s12526-014-0223-6
"Hayward, P. J.; Nelson-Smith, A.; Shields, C. (1996). Collins pocket guide: sea shore of Britain and Europe. <em>Collins pocket guides. Harper-Collins Publishers: London, UK. ISBN 0-00-219955-6.</em> 352 pp.","Hayward, P. J.; Nelson-Smith, A.; Shields, C.",1996,Collins pocket guide: sea shore of Britain and Europe,"Collins pocket guides. Harper-Collins Publishers: London, UK. ISBN 0-00-219955-6",352 pp.,
"Ozcan, T.; Katagan, T.; Ng, P. K. L. (2010). First Record of Eurycarcinus Integrifrons De Man, 1879 (Decapoda, Pilumnidae) from the Mediterranean Sea. <em>Crustaceana.</em> 83(4): 507-510.","Ozcan, T.; Katagan, T.; Ng, P. K. L.",2010,"First Record of Eurycarcinus Integrifrons De Man, 1879 (Decapoda, Pilumnidae) from the Mediterranean Sea",Crustaceana,83(4): 507-510,
"Ledoyer, M. (2000). Leptostracés (Crustacea) de Nouvelle-Calédonie (mer de Corail, Ouest Pacifique) = Leptostraca (Crustacea) from New Caledonia (Coral Sea, West Pacific). <em>Marine Life.</em> 10 (1-2): 57-68.","Ledoyer, M.",2000,"Leptostracés (Crustacea) de Nouvelle-Calédonie (mer de Corail, Ouest Pacifique) = Leptostraca (Crustacea) from New Caledonia (Coral Sea, West Pacific).",Marine Life,10 (1-2): 57-68,
"Bouchet, P.; Héros, V.; Lozouet, P.; Maestrati, P. (2008). A quarter-century of deep-sea malacological exploration in the South and West Pacific: Where do we stand? How far to go?. <em>in: Héros, V. et al. (Ed.) Tropical Deep-Sea Benthos 25. Mémoires du Muséum national d'Histoire naturelle (1993).</em> 196: 9-40.","Bouchet, P.; Héros, V.; Lozouet, P.; Maestrati, P.",2008,A quarter-century of deep-sea malacological exploration in the South and West Pacific: Where do we stand? How far to go?,"in: Héros, V. et al. (Ed.) Tropical Deep-Sea Benthos 25. Mémoires du Muséum national d'Histoire naturelle (1993)",196: 9-40,
"Huys, R. & S. Conroy-Dalton. (2006). Revision of the genus Evansula T. Scott, 1906 (Copepoda, Harpacticoida, Cylindropsyllidae) with a description of three new species. <em>Zoological Journal of the Linnean Society.</em> 147(4): 419-472.","Huys, R. & S. Conroy-Dalton",2006,"Revision of the genus Evansula T. Scott, 1906 (Copepoda, Harpacticoida, Cylindropsyllidae) with a description of three new species",Zoological Journal of the Linnean Society,147(4): 419-472,10.1111/j.1096-3642.2006.00227.x
