String,Author,Year,Title,Book,Journal,Volume,Issue,Pagination
"Houart, R.; Quiquandon, P. & Briano, B. (2004). Description of a new species of <i>Chicoreus (Triplex)</i> (Gastropoda: Muricidae) from Madagascar. <em>Novapex.</em> 5 (4): 143-146.","Houart, R.; Quiquandon, P. & Briano, B.",2004,Description of a new species of <i>Chicoreus (Triplex)</i> (Gastropoda: Muricidae) from Madagascar,,Novapex,5,4,143-146
"Hovda, J.I. & A. Fosshagen. (2003). Hyperbenthic calanoids and Thespesiopsyllus paradoxus (Sars) collected with a light trap in western Norway. <em>Sarsia.</em> 88(1):89-94.","Hovda, J.I. & A. Fosshagen",2003,Hyperbenthic calanoids and Thespesiopsyllus paradoxus (Sars) collected with a light trap in western Norway.,,Sarsia,88,1,89-94
"Hu, C.-H.; H-Tao, J. (2008). Studies on the ostracod fauna of Taiwan and its adjacent seas. <em>National Taiwan Museum Special Publication Series.</em> 13 (part 1), 1-655 [In Chinese].","Hu, C.-H.; H-Tao, J.",2008,Studies on the ostracod fauna of Taiwan and its adjacent seas,,National Taiwan Museum Special Publication Series,13,part 1,1-655
"Huang, H.-L.; Liu, S.-F. (2002). One new species of free-living marine nematodes from southeastern beach of Xiamen Island. <em>J. Oceanogr. Taiwan Strait = Taiwan Haixia.</em> 21(2): 177-180.","Huang, H.-L.; Liu, S.-F.",2002,One new species of free-living marine nematodes from southeastern beach of Xiamen Island,,J. Oceanogr. Taiwan Strait = Taiwan Haixia,21,2,177-180
"Humes, A.G. (1957). Deux Copépodes Harpacticoïdes nouveaux du genre Tisbe, parasites des Holothuries de la Méditerranée. <em>Vie et Milieu.</em> 8(1):9-22, figs. 1-53. (vi-1957).","Humes, A.G.",1957,"Deux Copépodes Harpacticoïdes nouveaux du genre Tisbe, parasites des Holothuries de la Méditerranée.",,Vie et Milieu,8,1,"9-22, figs. 1-53. (vi-1957)"
"Humes, A.G. & R. Huys. (1992). Copepoda (Poecilostomatoida and Siphonostomatoida) from deep-sea hydrothermal vent areas off British Columbia, including Amphicrossus altalis, a new species of Erebonasteridae, with notes on the taxonomic position of the genus Tychidion Humes. Canadian Journal of Zoology 70(7):1369-1380.","Humes, A.G. & R. Huys",1992,"Copepoda (Poecilostomatoida and Siphonostomatoida) from deep-sea hydrothermal vent areas off British Columbia, including Amphicrossus altalis, a new species of Erebonasteridae, with notes on the taxonomic position of the genus Tychidion Humes.",,Canadian Journal of Zoology,70,7,1369-1380
"Huys, R. (1987). Paramesochra T. Scott, 1892 (Copepoda, Harpacticoida): a revised key, including a new species from the SW Dutch coast and some remarks on the phylogeny of the Paramesochridae. <em>Hydrobiologia.</em> 144(3): 193-210.","Huys, R.",1987,"Paramesochra T. Scott, 1892 (Copepoda, Harpacticoida): a revised key, including a new species from the SW Dutch coast and some remarks on the phylogeny of the Paramesochridae",,Hydrobiologia,144,3,193-210
"Huys, R. (1987). Some morphological observations on the Neobradyidae Olofsson, 1917 (Copepoda, Harpacticoida) including the redescription of Antarcticobradya tenuis (Brady, 1910) comb. nov. Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie 57:133-148, figs. 1-9, tab. 1. (French summary.)","Huys, R.",1987,"Some morphological observations on the Neobradyidae Olofsson, 1917 (Copepoda, Harpacticoida) including the redescription of Antarcticobradya tenuis (Brady, 1910) comb. nov.",,"Bulletin de l'Institut Royal des Sciences Naturelles de Belgique, Biologie",57,,"133-148, figs. 1-9, tab. 1. (French summary.)"
"Huys, R. (1987). Studies on the Cylindropsyllidae (Copepoda, Harpacticoida). 1. The status of Leptastacus laticaudatus Nicholls. <em>Zoologica Scripta.</em> 16(2): 155-166.","Huys, R.",1987,"Studies on the Cylindropsyllidae (Copepoda, Harpacticoida). 1. The status of Leptastacus laticaudatus Nicholls",,Zoologica Scripta,16,2,155-166
"Huys, R. (1988). A redescription of the presumed associated Caligopsyllus primus Kunz, 1975 (Harpacticoida, Paramesochridae) with emphasis on its phylogenetic affinity with Apodopsyllus Kunz, 1962. <em>Hydrobiologia.</em> 162(1): 3-19.","Huys, R.",1988,"A redescription of the presumed associated Caligopsyllus primus Kunz, 1975 (Harpacticoida, Paramesochridae) with emphasis on its phylogenetic affinity with Apodopsyllus Kunz, 1962",,Hydrobiologia,162,1,Mar-19
"Huys, R. (1988). On the identity of the Namakosiramiidae Ho & Perkins 1977 (Crustacea, Copepoda), including a review of harpacticoid associates of Echinodermata. <em>Journal of Natural History.</em> 22(6): 1517-1532.","Huys, R.",1988,"On the identity of the Namakosiramiidae Ho & Perkins 1977 (Crustacea, Copepoda), including a review of harpacticoid associates of Echinodermata",,Journal of Natural History,22,6,1517-1532
"Huys, R. (1988). Sexual dimorphism in aegisthid cephalosomic appendages (Copepoda, Harpacticoida): a reappraisal. Bijdragen tot de Dierkunde 58(1):114-136, figs. 1-10.","Huys, R.",1988,"Sexual dimorphism in aegisthid cephalosomic appendages (Copepoda, Harpacticoida): a reappraisal.",,Bijdragen tot de Dierkunde,58,1,"114-136, figs. 1-10"
"Huys, R. (1988). Studies on the Cylindropsyllidae (Copepoda, Harpacticoida). 2. A revision of the genus Cylindropsyllus Brady. <em>Zoologica Scripta.</em> 17(3): 253-276.","Huys, R.",1988,"Studies on the Cylindropsyllidae (Copepoda, Harpacticoida). 2. A revision of the genus Cylindropsyllus Brady",,Zoologica Scripta,17,3,253-276
"Huys, R. (1988). Stygofauna of the Canary Islands, 10. Rotundiclipeidae fam. nov. (Copepoda, Harpacticoida) from an anchihaline cave on Tenerife, Canary Islands. <em>Stygologia, Leiden.</em> 4(1): 42-63.","Huys, R.",1988,"Stygofauna of the Canary Islands, 10. Rotundiclipeidae fam. nov. (Copepoda, Harpacticoida) from an anchihaline cave on Tenerife, Canary Islands",,"Stygologia, Leiden",4,1,42-63
"Huys, R. (1989). Dicrotrichura tricincta gen. et spec. nov.: a new tantulucaridan (Crustacea: Maxillopoda) from the Mediterranean deep waters off Corsica. Bijdragen tot de Dierkunde 59(4):243-249. (French summary.)","Huys, R.",1989,Dicrotrichura tricincta gen. et spec. nov.: a new tantulucaridan (Crustacea: Maxillopoda) from the Mediterranean deep waters off Corsica.,,Bijdragen tot de Dierkunde,59,4,243-249
"Huys, R. (1990). A new family of harpacticoid copepods and an analysis of the phylogenetic relationships within the Laophontoidea T. Scott. Bijdragen tot de Dierkunde 60(2):79-120, figs. 1-18.","Huys, R.",1990,A new family of harpacticoid copepods and an analysis of the phylogenetic relationships within the Laophontoidea T. Scott.,,Bijdragen tot de Dierkunde,60,2,"79-120, figs. 1-18."
"Huys, R. (1990). A new harpacticoid copepod family collected from Australian sponges and the status of the subfamily Rhynchothalestrinae Lang. <em>Zoological Journal of the Linnean Society.</em> 99(1): 51-115.","Huys, R.",1990,A new harpacticoid copepod family collected from Australian sponges and the status of the subfamily Rhynchothalestrinae Lang,,Zoological Journal of the Linnean Society,99,1,51-115
"Huys, R. (1990). Adenopleurella, new genus, Proceropes, new genus, Sarsocletodes Wilson (ex Laophontidae), and Miroslavia Apostolov (ex Cletodidae): representatives of a new family (Copepoda: Harpacticoida). Journal of Crustacean Biology 10(2):340-363, figs. 1-13.","Huys, R.",1990,"Adenopleurella, new genus, Proceropes, new genus, Sarsocletodes Wilson (ex Laophontidae), and Miroslavia Apostolov (ex Cletodidae): representatives of a new family (Copepoda: Harpacticoida).",,Journal of Crustacean Biology,10,2,"340-363, figs. 1-13"
"Huys, R. (1990). Allocation of the Mantridae Leigh-Sharpe to the Cyclopoida (Crustacea: Copepoda) with notes on Nearchinotodelphys Ummerkutty. Bijdragen tot de Dierkunde 60(3-4):283-291, figs. 1-3, tab. 1.","Huys, R.",1990,Allocation of the Mantridae Leigh-Sharpe to the Cyclopoida (Crustacea: Copepoda) with notes on Nearchinotodelphys Ummerkutty.,,Bijdragen tot de Dierkunde,60,03-Apr,283-291
"Huys, R. (1990). Campyloxiphos dineti gen. et spec. nov. from off Namibia and a redefinition of the Deoterthridae Boxshall & Lincoln (Crustacea: Tantulocarida). Journal of Natural History, London 24(2):415-432.","Huys, R.",1990,Campyloxiphos dineti gen. et spec. nov. from off Namibia and a redefinition of the Deoterthridae Boxshall & Lincoln (Crustacea: Tantulocarida).,,"Journal of Natural History, London",24,2,415-432
"Huys, R. (1990). Coralliotantulus coomansi gen. et sp. n.: First record of a tantulocaridan (Crustacea: Maxillopoda) from shallow subtidal sands in tropical waters. Stygologia, Leiden 5(3):183-198, figs. 1-8.","Huys, R.",1990,Coralliotantulus coomansi gen. et sp. n.: First record of a tantulocaridan (Crustacea: Maxillopoda) from shallow subtidal sands in tropical waters.,,"Stygologia, Leiden",5,3,"183-198, figs. 1-8"
"Huys, R. (1990). Pholenota spatulifera Vervoort (Copepoda: Harpacticoida): aberrant laophontid or specialized diosaccid?. <em>Journal of Natural History.</em> 24(3): 635-646.","Huys, R.",1990,Pholenota spatulifera Vervoort (Copepoda: Harpacticoida): aberrant laophontid or specialized diosaccid?,,Journal of Natural History,24,3,653-646
"Huys, R. (1991). Crustacea Copepoda: Amphicrossus pacificus gen. et sp. nov., an erebonasterid copepod (Poecilostomatoida) from the New Caledonian continental shelf. <em>in: Crosnier, A. (Ed.) Résultats des Campagnes MUSORSTOM 9. Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie.</em> 152, 63-77.","Huys, R.",1991,"Crustacea Copepoda: Amphicrossus pacificus gen. et sp. nov., an erebonasterid copepod (Poecilostomatoida) from the New Caledonian continental shelf",Résultats des Campagnes MUSORSTOM 9,"Mémoires du Muséum national d'Histoire naturelle. Série A, Zoologie",152,,63-77
"Huys, R. (1991). Tantulocarida (Crustacea: Maxillopoda): A new taxon from the temporary meiobenthos. Marine Ecology 12(1):1-34.","Huys, R.",1991,Tantulocarida (Crustacea: Maxillopoda): A new taxon from the temporary meiobenthos.,,Marine Ecology,12,1,Jan-34
"Huys, R. (1993). Styracothoracidae (Copepoda: Harpacticoida), a new family from the Philippine deep sea. Journal of Crustacean Biology 13(4):769-783, figs 1-9, tab. 1.","Huys, R.",1993,"Styracothoracidae (Copepoda: Harpacticoida), a new family from the Philippine deep sea.",,Journal of Crustacean Biology,13,4,"769-783, figs 1-9, tab. 1."
"Huys, R. (1995). A new genus of Canuellidae (Copepoda, Harpacticoida) associated with Atlantic bathyal sea-urchins. <em>Zoologica Scripta.</em> 24(3): 225-243.","Huys, R.",1995,"A new genus of Canuellidae (Copepoda, Harpacticoida) associated with Atlantic bathyal sea-urchins",,Zoologica Scripta,24,3,225-243
"Huys, R. (1995). A new genus of Paramesochridae (Copepoda: Harpacticoida) from amphioxus-sand, Elat, Israel. <em>Journal of Natural History.</em> 29(3): 673-684.","Huys, R.",1995,"A new genus of Paramesochridae (Copepoda: Harpacticoida) from amphioxus-sand, Elat, Israel",,Journal of Natural History,29,3,673-684
"Huys, R. (1995). Some remarks on the taxonomic status of Paraschizopera Wells, 1981 (Copepods: Harpacticoida). <em>Hydrobiologia.</em> 308(1): 23-28.","Huys, R.",1995,"Some remarks on the taxonomic status of Paraschizopera Wells, 1981 (Copepods: Harpacticoida)",,Hydrobiologia,308,1,23-28
"Huys, R. (1996). Biuncus nom. nov., a replacement name for Singularia Huys, 1995 (Copepoda: Harpacticoida: Paramesochridae). <em>Journal of Natural History.</em> 30(8): 1261-1261.","Huys, R.",1996,"Biuncus nom. nov., a replacement name for Singularia Huys, 1995 (Copepoda: Harpacticoida: Paramesochridae)",,Journal of Natural History,30,8,1261-1261
"Huys, R. (1996). Superornatiremidae fam. nov. (Copepoda: Harpacticoida): An enigmatic family from North Atlantic anchihaline caves. <em>Scientia Marina.</em> 60(4): 497-542.","Huys, R.",1996,Superornatiremidae fam. nov. (Copepoda: Harpacticoida): An enigmatic family from North Atlantic anchihaline caves,,Scientia Marina,60,4,497-542
"Huys, R. (2001). Copepoda - Harpacticoida. <em>In: Costello, M.J. et al. (eds.) European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification. Collection Patrimoines Naturels.</em> 50:268-280.","Huys, R.",2001,Copepoda - Harpacticoida.,European register of marine species: a check-list of the marine species in Europe and a bibliography of guides to their identification,Collection Patrimoines Naturels,50,,268-280
"Huys, R. (2001). Splanchnotrophid systematics: a case of polyphyly and taxonomic myopia. Journal of Crustacean Biology 21(1):106-156. (ii.2001)","Huys, R.",2001,Splanchnotrophid systematics: a case of polyphyly and taxonomic myopia.,,Journal of Crustacean Biology,21,1,106-156
"Huys, R. (2003). Book review: Martin, Joel W., and George E. Davis. 2001. An Updated Classification of the Recent Crustacea. Natural History Museum of Los Angeles County Contributions in Science 39: 1-124. <em>Journal of Crustacean Biology.</em> 23(2): 495-497.","Huys, R.",2003,"Book review: Martin, Joel W., and George E. Davis. 2001. An Updated Classification of the Recent Crustacea. Natural History Museum of Los Angeles County Contributions in Science 39: 1-124.",,Journal of Crustacean Biology,23,2,495-497
"Huys, R. (2008). Heterolaophonte Lang, 1948 (Crustacea, Copepoda, Harpacticoida): proposed precedence over Mesolaophonte Nicholls, 1941 and Monolaophonte Nicholls, 1941 (Case 3471). Bulletin of Zoological Nomenclature. 65(4):282-287.","Huys, R.",2008,"Heterolaophonte Lang, 1948 (Crustacea, Copepoda, Harpacticoida): proposed precedence over Mesolaophonte Nicholls, 1941 and Monolaophonte Nicholls, 1941 (Case 3471).",,Bulletin of Zoological Nomenclature,65,4,282-287
"Huys, R. (2009). On the junior subjective synonyms of Coullia Hamond, 1973 (Copepoda, Harpacticoida, Laophontidae): an and key to species and related genera. <em>ZooKeys.</em> 5: 33-40.","Huys, R.",2009,"On the junior subjective synonyms of Coullia Hamond, 1973 (Copepoda, Harpacticoida, Laophontidae): an and key to species and related genera",,ZooKeys,5,,33-40
"Huys, R. (2009). Unresolved cases of type fixation, synonymy and homonymy in harpacticoid copepod nomenclature (Crustacea: Copepoda). <em>Zootaxa.</em> 2183:1-99.","Huys, R.",2009,"Unresolved cases of type fixation, synonymy and homonymy in harpacticoid copepod nomenclature (Crustacea: Copepoda).",,Zootaxa,2183,,Jan-99
"Huys, R. & D. Thistle. (1989). Bathycamptus eckmani gen. et spec. nov. (Copepoda, Harpacticoida) with a review of the taxonomic status of certain other deepwater harpacticoids. <em>Hydrobiologia.</em> 185(2): 101-126.","Huys, R. & D. Thistle",1989,"Bathycamptus eckmani gen. et spec. nov. (Copepoda, Harpacticoida) with a review of the taxonomic status of certain other deepwater harpacticoids",,Hydrobiologia,185,2,101-126
"Huys, R. & F.H. Mu. (2008). Description of a new species of Onychostenhelia Itô (Copepoda, Harpacticoida, Miraciidae) from the Bohai Sea, China. Zootaxa 1706:51-68.","Huys, R. & F.H. Mu",2008,"Description of a new species of Onychostenhelia Itô (Copepoda, Harpacticoida, Miraciidae) from the Bohai Sea, China.",,Zootaxa,1706,,51-68
"Huys, R. & G. Boxshall. (2001). An appreciation of the contribution of Arthur Humes to copepod systematics. <em>Journal of Crustacean Biology.</em> 21(1): 13-27.","Huys, R. & G. Boxshall",2001,An appreciation of the contribution of Arthur Humes to copepod systematics.,,Journal of Crustacean Biology,21,1,13-27
"Huys, R. & G.A. Boxshall. (1988). A new genus and species of Tantulocaridan (Crustacea: Tantulocarida) parasitic on a harpacticoid copepod from the Skagerak. Sarsia 73:205-211, figs. 1-4.","Huys, R. & G.A. Boxshall",1988,A new genus and species of Tantulocaridan (Crustacea: Tantulocarida) parasitic on a harpacticoid copepod from the Skagerak.,,Sarsia,73,3,"205-211, figs. 1-4."
"Huys, R. & G.A. Boxshall. (1990). Discovery of Centobnaster humesi, new genus, new species (Erebonasteridae), the most primitive poecilostomatoid copepod known, in New Caledonian deep waters. Journal of Crustacean Biology 10(3):504-519, figs. 1-8, tab. 1.","Huys, R. & G.A. Boxshall",1990,"Discovery of Centobnaster humesi, new genus, new species (Erebonasteridae), the most primitive poecilostomatoid copepod known, in New Caledonian deep waters.",,Journal of Crustacean Biology,10,3,"504-519, figs. 1-8, tab. 1"
"Huys, R. & G.A. Boxshall. (1990). The rediscovery of Cyclopicina longifurcata (Scott) (Copepoda: Cyclopinidae) in deep water in the north Atlantic, with a key to genera of the subfamily Cyclopininae. <em>Sarsia.</em> 75(1): 17-32.","Huys, R. & G.A. Boxshall",1990,"The rediscovery of Cyclopicina longifurcata (Scott) (Copepoda: Cyclopinidae) in deep water in the north Atlantic, with a key to genera of the subfamily Cyclopininae.",,Sarsia,75,1,17-32
"Huys, R. & G.A. Boxshall. (1991). Copepod Evolution. <em>Ray Society, London.</em> 159:1-468.","Huys, R. & G.A. Boxshall",1991,Copepod Evolution.,,"Ray Society, London",159,,1-468
"Huys, R. & G.M. Gee. (1990). A revision of Thompsonulidae Lang, 1944 (Copepoda: Harpacticoida). <em>Zoological Journal of the Linnean Society.</em> 99(1): 1-49.","Huys, R. & G.M. Gee",1990,"A revision of Thompsonulidae Lang, 1944 (Copepoda: Harpacticoida).",,Zoological Journal of the Linnean Society,99,1,Jan-49
"Huys, R. & H. Kunz. (1988). On the generic boundaries within the marine interstitial Latiremidae (Copepoda: Harpacticoida). Stygologia, Leiden 4(3):292-305, figs. 1-3, tab. 1.","Huys, R. & H. Kunz",1988,On the generic boundaries within the marine interstitial Latiremidae (Copepoda: Harpacticoida).,,"Stygologia, Leiden",4,,"292-305, figs. 1-3, tab. 1"
"Huys, R. & J.M. Gee. (1992). Revision of Danielssenia perezi Monard, D. paraperezi Soyer, D. eastwardae Coull (Harpacticoida; Paranannopidae) and their transfer to a new genus. Zoological Journal of the Linnean Society, London 104(1):31-56, figs. 1-15, tab. 1. (i.1992)","Huys, R. & J.M. Gee",1992,"Revision of Danielssenia perezi Monard, D. paraperezi Soyer, D. eastwardae Coull (Harpacticoida; Paranannopidae) and their transfer to a new genus.",,"Zoological Journal of the Linnean Society, London",104,,"31-56, figs. 1-15, tab. 1. (i.1992)"
"Huys, R. & J.M. Gee. (1993). A revision of Danielssenia Boeck and Psammis Sars with the establishment of two new genera Archisenia and Bathypsammis (Harpacticoida: Paranannopinae). Bulletin of the British Museum (Natural History), Zoology 59(1):45-81, figs. 1-23. (24.vi.1993)","Huys, R. & J.M. Gee",1993,A revision of Danielssenia Boeck and Psammis Sars with the establishment of two new genera Archisenia and Bathypsammis (Harpacticoida: Paranannopinae).,,"Bulletin of the British Museum (Natural History), Zoology",59,1,"45-81, figs. 1-23. (24.vi.1993)"
"Huys, R. & J.M. Gee. (1996). Prionos gen. nov. from the meiofauna of a Malaysian mangrove forest and the status of Psammis borealis (Copepoda, Harpacticoida, Paranannopidae). Cahiers de Biologie Marine 37(3):227-248.","Huys, R. & J.M. Gee",1996,"Prionos gen. nov. from the meiofauna of a Malaysian mangrove forest and the status of Psammis borealis (Copepoda, Harpacticoida, Paranannopidae).",,Cahiers de Biologie Marine,37,3,227-248
"Huys, R. & J.M. Gee. (1996). Sentiropsis, Peltisenia and Afrosenia: three new genera of Paranannopidae (Copepoda, Harpacticoida). Cahiers de Biologie Marine 37(1):49-75.","Huys, R. & J.M. Gee",1996,"Sentiropsis, Peltisenia and Afrosenia: three new genera of Paranannopidae (Copepoda, Harpacticoida).",,Cahiers de Biologie Marine,37,1,49-75
"Huys, R. & K.A. Willems. (1989). Laophontopsis Sars and the taxonomic concept of the Normanellinae (Copepoda: Harpacticoida): a revision. Bijdragen tot de Dierkunde 59(4):203-227, figs. 1-11.","Huys, R. & K.A. Willems",1989,Laophontopsis Sars and the taxonomic concept of the Normanellinae (Copepoda: Harpacticoida): a revision.,,Bijdragen tot de Dierkunde,59,4,"203-227, figs. 1-11"
"Huys, R. & K.A. Willems. (1993). A revision of Cylinula and two new species of Cylindropsyllus (Copepoda, Harpacticoida, Cylindropsyllidae). <em>Zoologica Scripta.</em> 22(4): 347-362.","Huys, R. & K.A. Willems",1993,"A revision of Cylinula and two new species of Cylindropsyllus (Copepoda, Harpacticoida, Cylindropsyllidae).",,Zoologica Scripta,22,4,347-362
"Huys, R. & M.A. Todaro. (1997). Meloriastacus ctenidis gen. et sp. nov.: a primitive interstitial copepod (Harpacticoida, Leptastacidae) from Tuscany. Italian Journal of Zoology, Modena 64(2):181-196.","Huys, R. & M.A. Todaro",1997,"Meloriastacus ctenidis gen. et sp. nov.: a primitive interstitial copepod (Harpacticoida, Leptastacidae) from Tuscany.",,"Italian Journal of Zoology, Modena",64,2,181-196
"Huys, R. & P. Bodin. (1997). First record of Acanthocephala in marine copepods. <em>Ophelia.</em> 46(3): 217-231.","Huys, R. & P. Bodin",1997,First record of Acanthocephala in marine copepods.,,Ophelia,46,3,217-231
"Huys, R. & P.F. Clark. (2009). Zosimidae Seifried, 2003 (Crustacea, Copepoda, Harpacticoida): proposed emendation of spelling to Zosimeidae to remove homonymy with Zosiminae Alcock, 1898 (Crustacea, Decapoda, Xanthidae). <em>Bulletin of Zoological Nomenclature.</em> 66(Part 1):24-29.","Huys, R. & P.F. Clark",2009,"Zosimidae Seifried, 2003 (Crustacea, Copepoda, Harpacticoida): proposed emendation of spelling to Zosimeidae to remove homonymy with Zosiminae Alcock, 1898 (Crustacea, Decapoda, Xanthidae).",,Bulletin of Zoological Nomenclature,66,Part 1,24-29
"Huys, R. & R. Böttger-Schnack. (1994). Taxonomy, biology and phylogeny of Miraciidae (Copepoda: Harpacticoida). Sarsia, Bergen 79:207-283.","Huys, R. & R. Böttger-Schnack",1994,"Taxonomy, biology and phylogeny of Miraciidae (Copepoda: Harpacticoida).",,"Sarsia, Bergen",79,3,207-283
"Huys, R. & R. Böttger-Schnack. (1997). On the diphyletic origin of the Oncaeidae Giesbrecht, 1892 (Copepoda: Poecilostomatoida) with a phylogenetic analysis of the Lubbockiidae fam. nov. Zoologischer Anzeiger 235:243-261. (1996/97)","Huys, R. & R. Böttger-Schnack",1997,"On the diphyletic origin of the Oncaeidae Giesbrecht, 1892 (Copepoda: Poecilostomatoida) with a phylogenetic analysis of the Lubbockiidae fam. nov.",,Zoologischer Anzeiger,235,,243-261
"Huys, R. & S. Conroy-Dalton. (1993). Willemsia gen. nov. and Boreopontia Willems, 1981 revisited (Harpacticoida: Cylindropsyllidae). Sarsia, Bergen 78(3-4):273-300, figs 1-18, tab. 1.","Huys, R. & S. Conroy-Dalton",1993,"Willemsia gen. nov. and Boreopontia Willems, 1981 revisited (Harpacticoida: Cylindropsyllidae).",,"Sarsia, Bergen",78,03-Apr,"273-300, figs 1-18, tab. 1."
"Huys, R. & S. Conroy-Dalton. (1997). Discovery of hydrothermal vent <i>Tantulocarida</i> on a new genus of <i>Argestidae</i> (Copepoda: Harpacticoida). <em>Cah. Biol. Mar.</em> 38(4): 235-249.","Huys, R. & S. Conroy-Dalton",1997,Discovery of hydrothermal vent <i>Tantulocarida</i> on a new genus of <i>Argestidae</i> (Copepoda: Harpacticoida),,Cah. Biol. Mar.,38,4,235-249
"Huys, R. & S. Conroy-Dalton. (2006). Revision of the genus Evansula T. Scott, 1906 (Copepoda, Harpacticoida, Cylindropsyllidae) with a description of three new species. <em>Zoological Journal of the Linnean Society.</em> 147(4): 419-472.","Huys, R. & S. Conroy-Dalton",2006,"Revision of the genus Evansula T. Scott, 1906 (Copepoda, Harpacticoida, Cylindropsyllidae) with a description of three new species",,Zoological Journal of the Linnean Society,147,4,419-472
"Huys, R. & S. Ohtsuka. (1993). A new species of Syrticola Willems & Claeys, 1982 (Copepoda:Harpacticoida) from Japan with notes on the type species. Bulletin of the Natural History Museum, London, Zoology 59(1):83-94.","Huys, R. & S. Ohtsuka",1993,"A new species of Syrticola Willems & Claeys, 1982 (Copepoda:Harpacticoida) from Japan with notes on the type species.",,"Bulletin of the Natural History Museum, London, Zoology",59,1,83-94
"Huys, R. & S.Conroy-Dalton. (1996). A revision of Leptopontia T. Scott (Copepoda: Harpacticoida) with description of six new species. <em>Zoological Journal of the Linnean Society.</em> 118(3): 197-239.","Huys, R. & S.Conroy-Dalton",1996,A revision of Leptopontia T. Scott (Copepoda: Harpacticoida) with description of six new species,,Zoological Journal of the Linnean Society,118,3,197-239
"Huys, R. & S.J. Song. (2004). The Ismardiidae Leigh-Sharpe (Copepoda, Harpacticoida Incertae Sedis): Enigmatic as Ever?. <em>Journal of Crustacean Biology.</em> 24(1): 37-53.","Huys, R. & S.J. Song",2004,"The Ismardiidae Leigh-Sharpe (Copepoda, Harpacticoida Incertae Sedis): Enigmatic as Ever?",,Journal of Crustacean Biology,24,1,37-53
"Huys, R. & T.C. Kihara. (2010). Systematics and phylogeny of Cristacoxidae (Copepoda, Harpacticoida): a review. <em>Zootaxa.</em> 2568:1-38.","Huys, R. & T.C. Kihara",2010,"Systematics and phylogeny of Cristacoxidae (Copepoda, Harpacticoida): a review.",,Zootaxa,2568,,Jan-38
"Huys, R. & T.M. Iliffe. (1998). Novocriniidae, a new family of harpacticoid copepods from anchihaline caves in Belize. <em>Zoologica Scripta.</em> 27(1): 1-15.","Huys, R. & T.M. Iliffe",1998,"Novocriniidae, a new family of harpacticoid copepods from anchihaline caves in Belize.",,Zoologica Scripta,27,1,Jan-15
"Huys, R. & W. Lee. (1999). On the relationships of the Normanellidae and the recognition of Cletopsyllidae grad. nov. (Copepoda, Harpacticoida). Zoologischer Anzeiger 237:267-290. (vii.1999)","Huys, R. & W. Lee",1999,"On the relationships of the Normanellidae and the recognition of Cletopsyllidae grad. nov. (Copepoda, Harpacticoida).",,Zoologischer Anzeiger,237,,267-290. (vii.1999)
"Huys, R. & W. Lee. (2000). Basal resolution of laophontid phylogeny and the paraphyly of Esola Edwards. Bulletin of the Natural History Museum, London, Zoology 66(1):49-107. (29.vi.2000)","Huys, R. & W. Lee",2000,Basal resolution of laophontid phylogeny and the paraphyly of Esola Edwards.,,"Bulletin of the Natural History Museum, London, Zoology",66,1,49-107
"Huys, R. & W. Lee. (2009). Proposal of Marbefia, gen. n. and Inermiphonte, gen. n., including updated keys to the species of Pseudonychocamptus Lang, 1944 and Paralaophonte Lang, 1948 (Copepoda, Harpacticoida, Laophontidae). <em>ZooKeys.</em> 23: 1-38.","Huys, R. & W. Lee",2009,"Proposal of Marbefia, gen. n. and Inermiphonte, gen. n., including updated keys to the species of Pseudonychocamptus Lang, 1944 and Paralaophonte Lang, 1948 (Copepoda, Harpacticoida, Laophontidae)",,ZooKeys,23,,Jan-38
"Huys, R. S.  Conroy-Dalton. (2006). Comparative Analysis of Vermiform Genera (Copepoda: Harpacticoida: Cylindropsyllidae), Including Descriptions of Boreovermis, New Genus and Bolbotelos, New Genus, from the Southern North Sea. <em>Journal of Crustacean Biology.</em> 26(2): 206-223.","Huys, R. S.  Conroy-Dalton",2006,"Comparative Analysis of Vermiform Genera (Copepoda: Harpacticoida: Cylindropsyllidae), Including Descriptions of Boreovermis, New Genus and Bolbotelos, New Genus, from the Southern North Sea",,Journal of Crustacean Biology,26,2,206-223
"Huys, R., G.A. Boxshall & J.P. Casanova. (1993). A redescription of Cumoniscus Bonnier, 1903 (Crustacea: Tantulocarida) from a cumacean host in the Bay of Biscay. <em>Systematic Parasitology.</em> 26(1): 75-79.","Huys, R., G.A. Boxshall & J.P. Casanova",1993,"A redescription of Cumoniscus Bonnier, 1903 (Crustacea: Tantulocarida) from a cumacean host in the Bay of Biscay",,Systematic Parasitology,26,1,75-79
"Huys, R., G.A. Boxshall & R. Böttger-Schnack. (1992). On the discovery of the male of Mormonilla Giesbrecht, 1891 (Copepoda): Mormonilloida). Bulletin of the British Museum (Natural History), Zoology 58(2):157-170.","Huys, R., G.A. Boxshall & R. Böttger-Schnack",1992,"On the discovery of the male of Mormonilla Giesbrecht, 1891 (Copepoda): Mormonilloida).",,"Bulletin of the British Museum (Natural History), Zoology",58,2,157-170
