String,Authors,Year,Title,Book,Series,Publisher,City,Volume,Issue,Pagination,DOI,,
"Israel, A.; Einav, R.; Silva, P. C.; Paz, G.; Chacana, M. E.; Douek, J. (2010). First report of the seaweed <i>Codium parvulum</i> (Chlorophyta) in Mediterranean waters: recent blooms on the northern shores of Israel. <em>Phycologia.</em> 49(2): 107-112.","Israel, A.; Einav, R.; Silva, P. C.; Paz, G.; Chacana, M. E.; Douek, J.",2010,First report of the seaweed <i>Codium parvulum</i> (Chlorophyta) in Mediterranean waters: recent blooms on the northern shores of Israel,,Phycologia,,,49,2,107-112,10.2216/ph09-28.1,,
"Wambacq, M. (2010). Temporele patronen in de samenstelling en gemeenschapsstructuur van de ichtyofauna in de Beneden-Zeeschelde. Een synthese van de biologische data in de Electrabel Kerncentrale te Doel tussen 1991 en 2010. <em>MSc Thesis. Katholieke Universiteit Leuven (KUL), Faculteit der Wetenschappen, Departement Biologie: Leuven.</em> 82 pp.","Wambacq, M.",2010,Temporele patronen in de samenstelling en gemeenschapsstructuur van de ichtyofauna in de Beneden-Zeeschelde. Een synthese van de biologische data in de Electrabel Kerncentrale te Doel tussen 1991 en 2010,,"MSc Thesis. Katholieke Universiteit Leuven (KUL), Faculteit der Wetenschappen, Departement Biologie: Leuven",,,,,82,,,
"Saiz-Salinas, J.I.; Amouroux, J.M. (2010). First record of the genus Arhynchite (Echiura) in the Mediterranean Sea. <em>Vie et Milieu.</em> 60(1): 47-51.","Saiz-Salinas, J.I.; Amouroux, J.M.",2010,First record of the genus Arhynchite (Echiura) in the Mediterranean Sea,,Vie et Milieu,,,60,1,47-51,,,
"Boets, P.; Lock, K.; Goethals, P. L. M. (2010). Using long-term monitoring to investigate the changes in species composition in the harbour of Ghent (Belgium). <em>Hydrobiologia.</em> 663(1): 155-166.","Boets, P.; Lock, K.; Goethals, P. L. M.",2010,Using long-term monitoring to investigate the changes in species composition in the harbour of Ghent (Belgium),,Hydrobiologia,,,663,1,155-166,10.1007/s10750-010-0567-2,,
"Ozcan, T.; Katagan, T.; Ng, P. K. L. (2010). First Record of Eurycarcinus Integrifrons De Man, 1879 (Decapoda, Pilumnidae) from the Mediterranean Sea. <em>Crustaceana.</em> 83(4): 507-510.","Ozcan, T.; Katagan, T.; Ng, P. K. L.",2010,"First Record of Eurycarcinus Integrifrons De Man, 1879 (Decapoda, Pilumnidae) from the Mediterranean Sea",,Crustaceana,,,83,4,507-510,,,
"Armenteros, M.; Vincx, M.; Decraemer, W. (2010). Guitartia tridentata n. gen., n. sp. (Monhysterida: Xyalidae) and Macrodontium gaspari n. gen., n. sp. (Chromadorida: Microlaimidae), free-living marine nematodes from the Caribbean Sea. <em>Nematology.</em> 12 (3): 417-427.","Armenteros, M.; Vincx, M.; Decraemer, W.",2010,"Guitartia tridentata n. gen., n. sp. (Monhysterida: Xyalidae) and Macrodontium gaspari n. gen., n. sp. (Chromadorida: Microlaimidae), free-living marine nematodes from the Caribbean Sea",,Nematology,,,12,3,417-427,,,
Peñas A.; Rolán E. (2010). Deep water Pyramidelloidea of the tropical South Pacific: Turbonilla and related genera. <em>In: Gofas S. (ed.) Tropical Deep Sea Benthos 26. Mémoires du Muséum National d'Histoire Naturelle.</em> 200: 1-436.,Peñas A.; Rolán E.,2010,Deep water Pyramidelloidea of the tropical South Pacific: Turbonilla and related genera,,In: Gofas S. (ed.) Tropical Deep Sea Benthos 26. Mémoires du Muséum National d'Histoire Naturelle,,,200,,1-436,,,
"Boets, P.; Lock, K.; Goethals, P. L. M. (2011). Assessing the importance of alien macro-Crustacea (Malacostraca) within macroinvertebrate assemblages in Belgian coastal harbours. <em>Helgoland Marine Research.</em> 66(2): 175-187.","Boets, P.; Lock, K.; Goethals, P. L. M.",2011,Assessing the importance of alien macro-Crustacea (Malacostraca) within macroinvertebrate assemblages in Belgian coastal harbours,,Helgoland Marine Research,,,66,2,175-187,10.1007/s10152-011-0259-y,,
"Torigoe K. & Inaba A. (2011). Revision on the classification of Recent Naticidae. <em>Bulletin of the Nishinomiya Shell Museum.</em> 7: 133 + 15 pp., 4 pls.",Torigoe K. & Inaba A.,2011,Revision on the classification of Recent Naticidae,,Bulletin of the Nishinomiya Shell Museum,,,7,,"133 + 15 pp., 4 pls",,,
"Vanaverbeke, J.; Merckx, B.; Degraer, S.; Vincx, M. (2011). Sediment-related distribution patterns of nematodes and macrofauna: Two sides of the benthic coin?. <em>Marine Environmental Research.</em> 71(1): 31-40.","Vanaverbeke, J.; Merckx, B.; Degraer, S.; Vincx, M.",2011,Sediment-related distribution patterns of nematodes and macrofauna: Two sides of the benthic coin?,,Marine Environmental Research,,,71,1,31-40,10.1016/j.marenvres.2010.09.006,,
"Lock, K.; Mees, J.; Vincx, M.; Goethals, P. L. M. (2011). Did global warming and alien invasions affect surf zone hyperbenthic communities on sandy beaches in Belgium?. <em>Hydrobiologia.</em> 664: 173-181, + suppl. mat.","Lock, K.; Mees, J.; Vincx, M.; Goethals, P. L. M.",2011,Did global warming and alien invasions affect surf zone hyperbenthic communities on sandy beaches in Belgium?,,Hydrobiologia,,,664,,"173-181, + suppl. mat.",,,
"Frank, H.; Ahn, K.-J. (2011). Coastal Staphylinidae (Coleoptera): A worldwide checklist, biogeography and natural history. <em>ZooKeys.</em> 107: 1-98.","Frank, H.; Ahn, K.-J.",2011,"Coastal Staphylinidae (Coleoptera): A worldwide checklist, biogeography and natural history",,ZooKeys,,,107,,1-98,10.3897/zookeys.107.1651,,
"Bariche, M. (2011). First record of the cube boxfish <i>Ostracion cubicus</i> (Ostraciidae) and additional records of <i>Champsodon vorax</i> (Champsodontidae) from the Mediterranean. <em>Aqua, International Journal of Ichthyology.</em> 17(4): 181-184.","Bariche, M.",2011,First record of the cube boxfish <i>Ostracion cubicus</i> (Ostraciidae) and additional records of <i>Champsodon vorax</i> (Champsodontidae) from the Mediterranean.,,"Aqua, International Journal of Ichthyology",,,17,4,181-184,,,
"Dagli, E.; Çinar, M. E.; Ergen, Z. (2011). Spionidae (Annelida: Polychaeta) from the Aegean Sea (eastern Mediterranean). <em>Italian Journal of Zoology.</em> 78(sup1): 49-64.","Dagli, E.; Çinar, M. E.; Ergen, Z.",2011,Spionidae (Annelida: Polychaeta) from the Aegean Sea (eastern Mediterranean),,Italian Journal of Zoology,,,78,sup1,49-64,10.1080/11250003.2011.567828,,
"Acik, S. (2011). Sipuncula from the southern coast of Turkey (eastern Mediterranean), with a new report for the Mediterranean Sea. <em>Cahiers de Biologie Marine.</em> 52: 313-329.","Acik, S.",2011,"Sipuncula from the southern coast of Turkey (eastern Mediterranean), with a new report for the Mediterranean Sea",,Cahiers de Biologie Marine,,,52,,313-329,,,
"Boone, M.; Houthoofd, W.; Bert, W.; Artois, T. (2011). First record of Nemertodermatida from Belgian marine waters. <em>Belg. J. Zool.</em> 14(1): 62-64.","Boone, M.; Houthoofd, W.; Bert, W.; Artois, T.",2011,First record of Nemertodermatida from Belgian marine waters,,Belg. J. Zool.,,,14,1,62-64,,,
"Wolf, M. A.; Sfriso, A.; Andreoli, C.; Moro, I. (2011). The presence of exotic <i>Hypnea flexicaulis</i> (Rhodophyta) in the Mediterranean Sea as indicated by morphology, rbcL and cox1 analyses. <em>Aquatic Botany.</em> 95(1): 55-58.","Wolf, M. A.; Sfriso, A.; Andreoli, C.; Moro, I.",2011,"The presence of exotic <i>Hypnea flexicaulis</i> (Rhodophyta) in the Mediterranean Sea as indicated by morphology, rbcL and cox1 analyses",,Aquatic Botany,,,95,1,55-58,10.1016/j.aquabot.2011.02.009,,
"De Blauwe, H. (2011). De slijkgrascicade Prokelisia marginata (Hemiptera: Delphacidae), een exoot gebonden aan Engels slijkgras Spartina townsendii, verovert nu ook de Belgische kust. <em>De Strandvlo.</em> 31(3-4): 80-88.","De Blauwe, H.",2011,"De slijkgrascicade Prokelisia marginata (Hemiptera: Delphacidae), een exoot gebonden aan Engels slijkgras Spartina townsendii, verovert nu ook de Belgische kust",,De Strandvlo,,,31,3-4,80-88,,,
"Abd-Elnaby, F.A.; San Martín, G. (2011). Syllinae (Syllidae: Polychaeta) from the Mediterranean coast of Egypt with the description of two new species. <em>Mediterranean Marine Science.</em> 12(1): 43-52.","Abd-Elnaby, F.A.; San Martín, G.",2011,Syllinae (Syllidae: Polychaeta) from the Mediterranean coast of Egypt with the description of two new species,,Mediterranean Marine Science,,,12,1,43-52,10.12681/mms.52,,
"Cabezas, P.; Macpherson, E.; Machordom, A. (2011). <i>Allogalathea</i> (Decapoda: Galatheidae): a monospecific genus of squat lobster?. <em>Zoological Journal of the Linnean Society.</em> 162(2): 245-270.","Cabezas, P.; Macpherson, E.; Machordom, A.",2011,<i>Allogalathea</i> (Decapoda: Galatheidae): a monospecific genus of squat lobster?,,Zoological Journal of the Linnean Society,,,162,2,245-270,,,
"Bang, H.W., Y. Lee & W. Lee. (2011). A new species of the genus Heterolaophonte Lang, 1948 (Copepoda: Harpacticoida: Laophontidae) from Maxwell Bay, King George Island, Antarctica. <em>Proceedings of the Biological Society of Washington.</em> 124(4): 326-340.","Bang, H.W., Y. Lee & W. Lee",2011,"A new species of the genus Heterolaophonte Lang, 1948 (Copepoda: Harpacticoida: Laophontidae) from Maxwell Bay, King George Island, Antarctica.",,Proceedings of the Biological Society of Washington,,,124,4,326-340,,,
"Blanco, S. (2011). Neodetonia nom. nov., a replacement name for Detonia Frenguelli (Bacillariophyceae). Phycologia 50(3): 327.","Blanco, S.",2011,"Neodetonia nom. nov., a replacement name for Detonia Frenguelli (Bacillariophyceae)",,Phycologia,,,50,3,327,,,
"Rothman, S.; Mienis, H. (2011). <i>Smaragdia souverbiana</i>: not only the first record from Israel, but also the oldest record from the Mediterranean Sea (Gastropoda, Neritidae). <em>Triton.</em> 24: 9-10.","Rothman, S.; Mienis, H.",2011,"<i>Smaragdia souverbiana</i>: not only the first record from Israel, but also the oldest record from the Mediterranean Sea (Gastropoda, Neritidae).",,Triton,,,24,,9-10,,,
"El-Rashidy, H. H.; Boxshall, G. A. (2012). A new copepod (Siphonostomatoida: Lernanthropidae) parasitic on a Red Sea immigrant dragonet (Actinopterygii: Callionymidae), with a review of records of parasitic copepods from dragonets. <em>Systematic Parasitology.</em> 81(2): 87-96.","El-Rashidy, H. H.; Boxshall, G. A.",2012,"A new copepod (Siphonostomatoida: Lernanthropidae) parasitic on a Red Sea immigrant dragonet (Actinopterygii: Callionymidae), with a review of records of parasitic copepods from dragonets",,Systematic Parasitology,,,81,2,87-96,10.1007/s11230-011-9326-7,,
"De Troch, M., I. Vergaerde, C. Cnudde, P. Vanormelingen, W. Vyverman & M. Vincx. (2012). The taste of diatoms: the role of diatom growth phase characteristics and associated bacteria for benthic copepod grazing. <em>Aquatic Microbial Ecology.</em> 67(1): 47-58.","De Troch, M., I. Vergaerde, C. Cnudde, P. Vanormelingen, W. Vyverman & M. Vincx",2012,The taste of diatoms: the role of diatom growth phase characteristics and associated bacteria for benthic copepod grazing.,,Aquatic Microbial Ecology,,,67,1,47-58,10.3354/ame01587,,
"Wolf, M. A.; Sciuto, K.; Andreoli, C.; Moro, I. (2012). Ulva (Chlorophyta, Ulvales) Biodiversity in the North Adriatic Sea (Mediterranean, Italy): Cryptic Species and New Introductions. <em>Journal of Phycology.</em> 48(6): 1510-1521.","Wolf, M. A.; Sciuto, K.; Andreoli, C.; Moro, I.",2012,"Ulva (Chlorophyta, Ulvales) Biodiversity in the North Adriatic Sea (Mediterranean, Italy): Cryptic Species and New Introductions",,Journal of Phycology,,,48,6,1510-1521,10.1111/jpy.12005,,
"Ostmann, A.; Nordhaus, I.; Sørensen, M. V. (2012). First recording of kinorhynchs from Java, with the description of a new brackish water species from a mangrove-fringed lagoon. <em>Marine Biodiversity.</em> 42(2): 79-91.","Ostmann, A.; Nordhaus, I.; Sørensen, M. V.",2012,"First recording of kinorhynchs from Java, with the description of a new brackish water species from a mangrove-fringed lagoon",,Marine Biodiversity,,,42,2,79-91,10.1007/s12526-011-0094-z,,
"Chavtur, V. G.; Brandão, S. N.; Bashmanov, A. G. (2012). New subgenus and four new species of Doloria (Myodocopina) marine benthic ostracods from the Southern Ocean. <em>Zootaxa.</em> 3356: 1-46.","Chavtur, V. G.; Brandão, S. N.; Bashmanov, A. G.",2012,New subgenus and four new species of Doloria (Myodocopina) marine benthic ostracods from the Southern Ocean,,Zootaxa,,,3356,,1-46,10.11646/zootaxa.3356.1.1,,
"Shefer, S.; Feldstein, T.; Mienis, H. K.; Rittner, O.; Gur, A. (2012). First records Of <i>Mimachlamys sanguinea</i> (Linnaeus, 1758) from the Mediterranean coast of Israel (Bivalvia, Pectinidae). <em>Triton.</em> 25: 1-2.","Shefer, S.; Feldstein, T.; Mienis, H. K.; Rittner, O.; Gur, A.",2012,"First records Of <i>Mimachlamys sanguinea</i> (Linnaeus, 1758) from the Mediterranean coast of Israel (Bivalvia, Pectinidae).",,Triton,,,25,,1-2,,,
"Mohammed, M.; Keyser, D. (2012). Recent ostracods from the tidal flats of the coast of Aden City, Yemen. <em>Marine Biodiversity.</em> 42(2): 247-280.","Mohammed, M.; Keyser, D.",2012,"Recent ostracods from the tidal flats of the coast of Aden City, Yemen",,Marine Biodiversity,,,42,2,247-280,10.1007/s12526-012-0112-9,,
"Tchesunov, A. V.; Ingels, J.; Popova, E. V. (2012). Marine free-living nematodes associated with symbiotic bacteria in deep-sea canyons of north-east Atlantic Ocean. <em>Journal of the Marine Biological Association of the United Kingdom.</em> 92(06): 1257-1271.","Tchesunov, A. V.; Ingels, J.; Popova, E. V.",2012,Marine free-living nematodes associated with symbiotic bacteria in deep-sea canyons of north-east Atlantic Ocean,,Journal of the Marine Biological Association of the United Kingdom,,,92,06,1257-1271,10.1017/s0025315411002116,,
"Vansteenbrugge, L.; Van Ginderdeuren, K.; Van Regenmortel, T.; Hostens, K.; Vincx, M. (2012). Larval mantis shrimp Rissoides desmaresti (Risso, 1816) (Stomatopoda) in the Belgian part of the North Sea. <em>Belg. J. Zool.</em> 142(2): 154-158.","Vansteenbrugge, L.; Van Ginderdeuren, K.; Van Regenmortel, T.; Hostens, K.; Vincx, M.",2012,"Larval mantis shrimp Rissoides desmaresti (Risso, 1816) (Stomatopoda) in the Belgian part of the North Sea",,Belg. J. Zool.,,,142,2,154-158,,,
"Wittmann, K. J.; Ariani, A. P. (2012). <I>Diamysis cymodoceae</I> sp. nov. from the Mediterranean, Marmora, and Black Sea basins, with notes on geographical distribution and ecology of the genus (Mysida, Mysidae). <em>Crustaceana.</em> 85(3): 301-332.","Wittmann, K. J.; Ariani, A. P.",2012,"<I>Diamysis cymodoceae</I> sp. nov. from the Mediterranean, Marmora, and Black Sea basins, with notes on geographical distribution and ecology of the genus (Mysida, Mysidae)",,Crustaceana,,,85,3,301-332,10.1163/156854012x623719,,
"Karhan, S. Ü.; Yoke?, M. B. (2012). An earlier record of the Indo-Pacific swimming crab, <I>Gonioinfradens paucidentatus</I> (A. Milne-Edwards, 1861) (Decapoda, Brachyura, Portunidae) off the Mediterranean coast of Turkey. <em>Crustaceana.</em> 85(1): 117-121.","Karhan, S. Ü.; Yoke?, M. B.",2012,"An earlier record of the Indo-Pacific swimming crab, <I>Gonioinfradens paucidentatus</I> (A. Milne-Edwards, 1861) (Decapoda, Brachyura, Portunidae) off the Mediterranean coast of Turkey",,Crustaceana,,,85,1,117-121,10.1163/156854012x623575,,
"Dul?i?, J.; Dragi?evi?, B. (2012). <i>Paranthias furcifer</i> (Perciformes: Serranidae), a new alien fish in the Mediterranean Sea. <em>Journal of Fish Biology.</em> 82(1): 332-337.","Dul?i?, J.; Dragi?evi?, B.",2012,"<i>Paranthias furcifer</i> (Perciformes: Serranidae), a new alien fish in the Mediterranean Sea",,Journal of Fish Biology,,,82,1,332-337,10.1111/j.1095-8649.2012.03462.x,,
"Kerckhof, F.; Verbeke, D.; Bauwens, F. (2012). Nieuws uit de Baai van Heist: de roodwieren Caulacanthus ustulatus (Mertens ex Turner) Kützing, 1843 en Gracilaria vermiculophylla (Ohmi) Papenfuss 1967 nieuw voor de Belgische kust en een merkwaardig habitat van intertidale mossels. <em>De Strandvlo.</em> 32(1): 19-23.","Kerckhof, F.; Verbeke, D.; Bauwens, F.",2012,"Nieuws uit de Baai van Heist: de roodwieren Caulacanthus ustulatus (Mertens ex Turner) Kützing, 1843 en Gracilaria vermiculophylla (Ohmi) Papenfuss 1967 nieuw voor de Belgische kust en een merkwaardig habitat van intertidale mossels",,De Strandvlo,,,32,1,19-23,,,
"López-González, P.J.; Grinyo, J.; Gili, J.-M. (2012). Rediscovery of Cereopsis studeri Koch, 1891, a forgotten Mediterranean soft coral species, and its inclusion in the genus Nidalia Gray, 1835 (Octocorallia, Alcyonacea, Nidaliidae). <em>Marine Biology Research.</em> 8(7): 594-604.","López-González, P.J.; Grinyo, J.; Gili, J.-M.",2012,"Rediscovery of Cereopsis studeri Koch, 1891, a forgotten Mediterranean soft coral species, and its inclusion in the genus Nidalia Gray, 1835 (Octocorallia, Alcyonacea, Nidaliidae)",,Marine Biology Research,,,8,7,594-604,,,
"Keppel, E.; Sigovini, M.; Tagliapietra, D. (2012). A new geographical record of <i>Polycera hedgpethi</i> Er. Marcus, 1964 (Nudibranchia: Polyceridae) and evidence of its established presence in the Mediterranean Sea, with a review of its geographical distribution. <em>Marine Biology Research.</em> 8(10): 969-981.","Keppel, E.; Sigovini, M.; Tagliapietra, D.",2012,"A new geographical record of <i>Polycera hedgpethi</i> Er. Marcus, 1964 (Nudibranchia: Polyceridae) and evidence of its established presence in the Mediterranean Sea, with a review of its geographical distribution",,Marine Biology Research,,,8,10,969-981,10.1080/17451000.2012.706306,,
"Caraus, I. (2012). Algae of Romania. A distributional checklist of actual algae. Third revision 2012. Studii si Cercetari Stiintifice Universitatea Bacau. <em>Seria Biologie, 7. Universitate Bacau: Bacau. 809.</em>","Caraus, I.",2012,Algae of Romania. A distributional checklist of actual algae. Third revision 2012. Studii si Cercetari Stiintifice Universitatea Bacau,,"Seria Biologie, 7. Universitate Bacau: Bacau. 809",,,,,,,,
"Alurralde, G.; Torre, L.; Schwindt, E.; Castilla, J. C.; Tatián, M. (2013). A re-evaluation of morphological characters of the invasive ascidian Corella eumyota reveals two different species at the tip of South America and in the South Shetland Islands, Antarctica. <em>Polar Biology.</em> 36(7): 957-968.","Alurralde, G.; Torre, L.; Schwindt, E.; Castilla, J. C.; Tatián, M.",2013,"A re-evaluation of morphological characters of the invasive ascidian Corella eumyota reveals two different species at the tip of South America and in the South Shetland Islands, Antarctica",,Polar Biology,,,36,7,957-968,10.1007/s00300-013-1319-3,,
"Van Ginderdeuren, K.; Vandendriessche, S.; Prossler, Y.; Matola, H.; Vincx, M.; Hostens, K. (2013). Selective feeding by pelagic fish in the Belgian part of the North Sea. <em>ICES Journal of Marine Science.</em> 71(4): 808-820.","Van Ginderdeuren, K.; Vandendriessche, S.; Prossler, Y.; Matola, H.; Vincx, M.; Hostens, K.",2013,Selective feeding by pelagic fish in the Belgian part of the North Sea,,ICES Journal of Marine Science,,,71,4,808-820,10.1093/icesjms/fst183,,
"Murano, M. (2013). A new blind mysid genus, Eoamblyops, from Japan with the description of a new species (Crustacea, Mysida, Mysidae, Erythropinae). <em>Bull. Natl. Mus. Nat. Sci.</em> Ser. A 39(4): 203-209.","Murano, M.",2013,"A new blind mysid genus, Eoamblyops, from Japan with the description of a new species (Crustacea, Mysida, Mysidae, Erythropinae)",,Bull. Natl. Mus. Nat. Sci.,,,39,4,203-209,,,
"Sierra, R.; Matz, M. V.; Aglyamova, G.; Pillet, L.; Decelle, J.; Not, F.; De Vargas, C.; Pawlowski, J. (2013). Deep relationships of Rhizaria revealed by phylogenomics: A farewell to Haeckel's Radiolaria. <em>Molecular Phylogenetics and Evolution.</em> 67(1): 53-59.","Sierra, R.; Matz, M. V.; Aglyamova, G.; Pillet, L.; Decelle, J.; Not, F.; De Vargas, C.; Pawlowski, J.",2013,Deep relationships of Rhizaria revealed by phylogenomics: A farewell to Haeckel's Radiolaria,,Molecular Phylogenetics and Evolution,,,67,1,53-59,10.1016/j.ympev.2012.12.011,,
"Houart, R.; Fraussen, K. & Barbier, J. P. (2013). Description of a new species of <i>Lataxiena</i> (Gastropoda: Muricidae) from India. <em>Gloria Maris.</em> 52 (1-2): 1-10. [13 January 2013].","Houart, R.; Fraussen, K. & Barbier, J. P.",2013,Description of a new species of <i>Lataxiena</i> (Gastropoda: Muricidae) from India,,Gloria Maris,,,52,1-2,1-10,,,
"Seenivasan, R.; Sausen, N.; Medlin, L. K.; Melkonian, M. (2013). Picomonas judraskeda Gen. Et Sp. Nov.: The First Identified Member of the Picozoa Phylum Nov., a Widespread Group of Picoeukaryotes, Formerly Known as ‘Picobiliphytes'. <em>PLoS ONE.</em> 8(3): e59565.","Seenivasan, R.; Sausen, N.; Medlin, L. K.; Melkonian, M.",2013,"Picomonas judraskeda Gen. Et Sp. Nov.: The First Identified Member of the Picozoa Phylum Nov., a Widespread Group of Picoeukaryotes, Formerly Known as ‘Picobiliphytes'",,PLoS ONE,,,8,3,e59565,10.1371/journal.pone.0059565,,
"Rolán, E.; Gori, S. (2013). Two new Cerithiopsis species from São Tomé island (Prosobranchia, Cerithiopsidae). <em>Gloria Maris.</em> 52(5): 133-138.","Rolán, E.; Gori, S.",2013,"Two new Cerithiopsis species from São Tomé island (Prosobranchia, Cerithiopsidae)",,Gloria Maris,,,52,5,133-138,,,
"Tu, N. D.; Vanreusel, A.; Smol, N.; Long, P. K.; Thanh, N. V. (2013). Paracomesoma paralongispiculum sp. n.: a new species of nematode from mangroves of Can Gio (Vietnam) and taxonomy of the genus Paracomesoma Hope et Murphy, 1972 (Nematoda: Araeolaimida). <em>Russian Journal of Marine Biology.</em> 39(2): 143-147.","Tu, N. D.; Vanreusel, A.; Smol, N.; Long, P. K.; Thanh, N. V.",2013,"Paracomesoma paralongispiculum sp. n.: a new species of nematode from mangroves of Can Gio (Vietnam) and taxonomy of the genus Paracomesoma Hope et Murphy, 1972 (Nematoda: Araeolaimida)",,Russian Journal of Marine Biology,,,39,2,143-147,10.1134/s1063074013020077,,
"Dekkers, A. M. (2013). Description of an almost white new species of Vexillum (Gastropoda: Costellariidae) from the Philippines. <em>Gloria Maris.</em> 52(3-4): 92-97.","Dekkers, A. M.",2013,Description of an almost white new species of Vexillum (Gastropoda: Costellariidae) from the Philippines,,Gloria Maris,,,52,3-4,92-97,,,
"Bezerra, T. N.; Pape, E.; Hauquier, F; Vanreusel, A.; Ingels, J. (2013). New genus and two new species of the family Ethmolaimidae (Nematoda: Chromadorida), found in two different cold-seep environments. <em>Zootaxa.</em> 3692(1): 7.","Bezerra, T. N.; Pape, E.; Hauquier, F; Vanreusel, A.; Ingels, J.",2013,"New genus and two new species of the family Ethmolaimidae (Nematoda: Chromadorida), found in two different cold-seep environments",,Zootaxa,,,3692,1,7,10.11646/zootaxa.3692.1.4,,
"Gofas S., Salas C., Rueda J.L., Canoura J., Farias C. & Gil J. (2014). Mollusca from a species-rich deep-water <em>Leptometra</em> community in the Alboran Sea. <em>Scientia Marina.</em> 78(4) : 537-553.","Gofas S., Salas C., Rueda J.L., Canoura J., Farias C. & Gil J.",2014,Mollusca from a species-rich deep-water <em>Leptometra</em> community in the Alboran Sea,,Scientia Marina,,,78,4,537-553,,,
"Van Ryckegem, G.; Van Braeckel, A.; Elsen, R.; Speybroeck, J.; Vandevoorde, B.; Mertens, W.; Breine, J.; Van den Bergh, E. (2014). MONEOS – Geïntegreerd datarapport: INBO: toestand Zeeschelde 2013 Monitoringsoverzicht en 1ste lijnsrapportage Geomorfologie, diversiteit Habitats en diversiteit Soorten. <em>Rapporten van het Instituut voor Natuur- en Bosonderzoek, INBO.R.2014.2646963. Instituut voor Natuur- en Bosonderzoek (INBO): Brussel.</em> 137 pp.","Van Ryckegem, G.; Van Braeckel, A.; Elsen, R.; Speybroeck, J.; Vandevoorde, B.; Mertens, W.; Breine, J.; Van den Bergh, E.",2014,"MONEOS – Geïntegreerd datarapport: INBO: toestand Zeeschelde 2013 Monitoringsoverzicht en 1ste lijnsrapportage Geomorfologie, diversiteit Habitats en diversiteit Soorten",,"Rapporten van het Instituut voor Natuur- en Bosonderzoek, INBO.R.2014.2646963. Instituut voor Natuur- en Bosonderzoek (INBO): Brussel",Instituut voor Natuur- en Bosonderzoek (INBO),Brussel,,,137,,,
"Bezerra, T. N.; Smol, N.; Vincx, M. (2014). Two new species of Rhynchonema Cobb, 1920 from a Brazilian sandy beach. <em>Marine Biodiversity.</em> 44(3): 343-365.","Bezerra, T. N.; Smol, N.; Vincx, M.",2014,"Two new species of Rhynchonema Cobb, 1920 from a Brazilian sandy beach",,Marine Biodiversity,,,44,3,343-365,10.1007/s12526-014-0223-6,,
"Hoppenrath, M.; Murray, S. A.; Chomérat, N.; Horiguchi, T. (2014). Marine benthic dinoflagellates - unravelling their worldwide biodiversity. <em>Kleine Senckenberg-Reihe.</em> 54: 1-276.","Hoppenrath, M.; Murray, S. A.; Chomérat, N.; Horiguchi, T.",2014,Marine benthic dinoflagellates - unravelling their worldwide biodiversity,,Kleine Senckenberg-Reihe,,,54,,1-276,,,
"Van Ginderdeuren, K., G. van Hoey, M. Vincx & K. Hostens. (2014). The mesozooplankton community of the Belgian shelf (North Sea). <em>Journal of Sea Research.</em> 85:48-58.","Van Ginderdeuren, K., G. van Hoey, M. Vincx & K. Hostens",2014,The mesozooplankton community of the Belgian shelf (North Sea).,,Journal of Sea Research,,,85,,48-58,10.1016/j.seares.2013.10.003,,
"Vieira, C.; D'hondt, S.; De Clerck, O.; Payri, C. E. (2014). Toward an inordinate fondness for stars, beetles and Lobophora? Species diversity of the genus Lobophora (Dictyotales, Phaeophyceae) in New Caledonia. <em>Journal of Phycology.</em> 50(6): 1101-1119.","Vieira, C.; D'hondt, S.; De Clerck, O.; Payri, C. E.",2014,"Toward an inordinate fondness for stars, beetles and Lobophora? Species diversity of the genus Lobophora (Dictyotales, Phaeophyceae) in New Caledonia",,Journal of Phycology,,,50,6,1101-1119,10.1111/jpy.12243,,
"Taheri, M.; Braeckman, U.; Vincx, M.; Vanaverbeke, J. (2014). Effect of short-term hypoxia on marine nematode community structure and vertical distribution pattern in three different sediment types of the North Sea. <em>Marine Environmental Research.</em> 99: 149-159.","Taheri, M.; Braeckman, U.; Vincx, M.; Vanaverbeke, J.",2014,Effect of short-term hypoxia on marine nematode community structure and vertical distribution pattern in three different sediment types of the North Sea,,Marine Environmental Research,,,99,,149-159,10.1016/j.marenvres.2014.04.010,,
"De Blauwe, H.; Kind, B.; Kuhlenkamp, R.; Cuperus, J.; van der Weide, B.; Kerckhof, F. (2014). Recent observations of the introduced Fenestrulina delicia Winston, Hayward & Craig, 2000 (Bryozoa) in Western Europe. <em>Studi Trent. Sci. Nat.</em> 94: 45-51.","De Blauwe, H.; Kind, B.; Kuhlenkamp, R.; Cuperus, J.; van der Weide, B.; Kerckhof, F.",2014,"Recent observations of the introduced Fenestrulina delicia Winston, Hayward & Craig, 2000 (Bryozoa) in Western Europe",,Studi Trent. Sci. Nat,,,94,,45-51,,,
"Vicente, C. S.; Frutos, I.; Cartes, J. E. (2014). <em>Petalophthalmus papilloculatus </em>sp. nov.<em> </em>(Crustacea: Mysida: Petalophthalmidae), a new bathyal suprabenthic mysid from the Galicia Bank (NE Atlantic Ocean). <em>Zootaxa.</em> 3765(1): 77.","Vicente, C. S.; Frutos, I.; Cartes, J. E.",2014,"<em>Petalophthalmus papilloculatus </em>sp. nov.<em> </em>(Crustacea: Mysida: Petalophthalmidae), a new bathyal suprabenthic mysid from the Galicia Bank (NE Atlantic Ocean)",,Zootaxa,,,3765,1,77,10.11646/zootaxa.3765.1.5,,
